$ LEGW 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,,
CWMS paths:, LEGW.Temp-Air.Inst.0.0.USBR-RAW, LEGW.Temp-DewPoint.Inst.0.0.USBR-RAW, LEGW.Speed-Wind.Inst.0.0.USBR-RAW, LEGW.Dir-Wind.Inst.0.0.USBR-RAW, LWS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,LMNA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with linTrend of LMNW
2.458330,-5.48,-10.22,3.72,6.25,10,757.454
2.500000,-4.74,-9.63,2.98,6.24,7.5,756.859
2.541670,-3.86,-9.55,2.53,0,7.5,756.561
2.583330,-3.05,-8.7,1.96,0.01,7.5,756.561
2.625000,-2.65,-8.58,1.27,6.26,0,756.264
2.666670,-3.33,-8.57,1.78,0.41,0,755.966
2.708330,-5.02,-7.85,1.26,1.15,0,755.966
2.750000,-6.17,-8.7,1.73,0.77,10,756.264
2.791670,-7.05,-9.24,1.38,0.88,10,756.561
2.833330,-6.98,-9.59,0.39,1.03,10,756.561
2.875000,-8.33,-9.88,0.35,1.04,10,756.66
2.916670,-8.12,-9.4,0.38,1.05,2,756.958
2.958330,-10.22,-11.88,1.1,0.86,2,756.958
3.000000,-10.36,-11.6,0.43,1.1,0,757.057
3.041670,-10.16,-11.55,0.9,1.28,0,757.156
3.083330,-10.36,-11.72,1.26,0.98,0,757.156
3.125000,-10.22,-11.6,1.1,1.16,0,757.355
3.166670,-10.96,-12.37,0.79,0.9,0,757.355
3.208330,-11.03,-12.58,1.69,0.7,0,757.355
3.250000,-10.96,-12.68,1.46,0.79,10,757.85
3.291670,-11.1,-12.91,1.26,0.86,7.5,758.049
3.333330,-11.03,-12.95,0.29,1.01,7.5,758.049
3.375000,-8.65,-10.46,0.29,1.01,4.4,758.346
3.416670,-7.97,-9.3,1.62,5.88,7.5,758.644
3.458330,-6.7,-8.72,0.67,4.57,7.5,758.644
3.500000,-6.76,-8.72,0.54,4.48,7.5,757.95
3.541670,-4.46,-7.85,0.6,5.61,0,757.454
3.583330,-3.25,-8,0.73,3.06,0,757.454
3.625000,-3.11,-8.5,0.75,5.71,0,757.355
3.666670,-3.93,-8.22,0.97,0.71,4.4,757.156
3.708330,-5.97,-8.87,0.31,1.4,4.4,757.156
3.750000,-6.64,-8.25,0.76,0.58,0,757.454
3.791670,-8.13,-9.56,0.84,0.77,4.4,757.553
3.833330,-9.07,-10.47,1,1.11,4.4,757.553
3.875000,-8.87,-10.52,1.67,0.42,10,757.652
3.916670,-9.95,-11.53,0.95,1.21,0,757.255
3.958330,-9.95,-11.49,0.78,1.4,0,757.255
4.000000,-10.7,-12.11,1.04,1.04,2,757.255
4.041670,-10.7,-12.23,1.04,1.1,7.5,757.156
4.083330,-10.08,-11.73,0.29,1.23,7.5,757.156
4.125000,-9.27,-10.91,0.29,1.22,4.4,757.454
4.166670,-8.93,-10.75,0.97,1.72,0,756.859
4.208330,-8.66,-10.15,0.95,0.93,0,756.859
4.250000,-9.54,-10.98,0.39,0.72,0,756.66
4.291670,-10.56,-11.96,0.58,0.91,2,756.859
4.333330,-9.88,-11.07,0.3,0.92,2,756.859
4.375000,-6.56,-8.75,0.91,2.06,0,756.958
4.416670,-5.54,-8.41,1.97,1.81,0,756.859
4.458330,-4.26,-8.11,0.69,1.8,0,756.859
4.500000,-3.66,-7.68,1.19,3.06,10,756.165
4.541670,-2.64,-7.37,1.1,4.02,4.4,755.867
4.583330,-1.7,-7.29,0.47,1.03,4.4,755.867
4.625000,-2.31,-7.18,0.64,2.14,4.4,755.57
4.666670,-2.72,-6.83,1.11,0.49,10,755.272
4.708330,-3.2,-5.76,0.94,0.59,10,755.272
4.750000,-3.6,-6.3,0.67,1.13,10,755.272
4.791670,-3.53,-6.08,1.12,1.96,0,754.975
4.833330,-3.6,-5.82,0.33,5.46,0,754.975
4.875000,-3.73,-5.53,1.25,5.69,10,755.272
4.916670,-3.53,-5.43,0.58,5.96,10,754.975
4.958330,-3.66,-5.39,1.02,4.84,10,754.975
5.000000,-3.73,-5.21,0.52,4.07,10,755.173
5.041670,-3.46,-5.28,1.03,2.97,10,755.074
5.083330,-3.12,-5.82,1.29,1.7,10,755.074
5.125000,-2.78,-5.22,1.54,0.34,10,755.768
5.166670,-2.72,-5.62,0.38,0.86,10,755.768
5.208330,-2.58,-5.18,0.29,0.86,10,755.768
5.250000,-2.72,-4.61,1.66,5.39,10,756.165
5.291670,-3.13,-4.82,2.46,5.62,10,756.065
5.333330,-3.06,-4.79,2.2,5.48,10,756.065
5.375000,-2.65,-4.68,1.77,5.22,10,756.561
5.416670,-2.04,-4.7,0.72,4.3,10,756.958
5.458330,-1.57,-4.85,0.43,0.07,10,756.958
5.500000,-0.96,-4.79,0.59,0.6,7.5,756.363
5.541670,-0.29,-4.59,0.94,2.54,2,755.867
5.583330,0.31,-3.9,0.58,4.37,2,755.867
5.625000,0.92,-3.11,1.14,2.25,10,755.867
5.666670,0.58,-2.87,1.56,2.93,10,755.768
5.708330,0.44,-1.98,1.73,2.2,10,755.768
5.750000,0.44,-1.98,1.13,1.79,0,755.47
5.791670,0.51,-1.71,0.66,5.94,2,755.173
5.833330,-0.02,-1.91,1.13,5.71,2,755.173
5.875000,-0.02,-1.46,0.82,0.13,7.5,755.47
5.916670,0.24,-1.2,0.54,0.84,2,755.867
5.958330,-0.5,-1.68,1.44,5.88,2,755.867
6.000000,-0.77,-1.62,0.77,3.51,10,755.371
6.041670,-0.97,-1.87,0.5,2.48,10,754.875
6.083330,-0.97,-2.3,1.78,5.8,10,754.875
6.125000,-1.24,-2.31,1.33,4.62,10,754.776
6.166670,-1.24,-2.41,0.82,3.73,10,754.479
6.208330,-1.78,-2.75,0.93,6.16,10,754.479
6.250000,-2.46,-3.05,0.29,5.77,4.4,754.38
6.291670,-2.73,-3.28,1.03,5.32,7.5,754.479
6.333330,-1.84,-2.76,1.1,3.31,7.5,754.479
6.375000,-1.17,-2.33,3.18,5.97,7.5,754.479
6.416670,-0.15,-2.4,0.96,3.17,2,754.578
6.458330,0.65,-1.66,1.32,6.25,2,754.578
6.500000,1.46,-1.3,1.43,6.19,10,753.884
6.541670,2.34,-0.42,0.46,2.27,10,753.388
6.583330,1.66,-0.36,1.57,5.34,10,753.388
6.625000,1.25,0.17,2.16,5.81,10,753.586
6.666670,0.97,0.61,1.14,5.09,10,753.289
6.708330,0.57,0.31,1.49,5.38,10,753.289
6.750000,0.16,0.11,1.34,5.34,7.5,752.991
6.791670,-0.02,-0.02,1.25,5.29,10,753.09
6.833330,-0.02,-0.25,1.7,5.21,10,753.09
6.875000,-0.3,-0.77,1.26,4.81,10,752.396
6.916670,-0.3,-1.17,0.79,4.92,10,752.495
6.958330,-0.22,-1.29,2.04,5.32,10,752.495
7.000000,-0.09,-1.32,1.56,5.5,10,752.198
7.041670,-0.09,-1,0.6,5.15,10,751.702
7.083330,-0.09,-1,0.49,5.17,10,751.702
7.125000,0.03,-1.11,0.31,5.5,10,751.107
7.166670,-0.22,-0.77,0.35,5.5,10,750.611
7.208330,-0.5,-0.81,0.41,5.14,10,750.611
7.250000,-0.56,-1.08,1.16,2.51,10,749.719
7.291670,-0.43,-1.02,0.34,1.78,10,749.619
7.333330,-0.5,-1.1,1.31,0.63,10,749.619
7.375000,0.03,-0.45,1.21,1.17,2,749.619
7.416670,2.61,1.77,2.12,2.7,0,748.727
7.458330,5.12,2.27,4.08,2.67,0,748.727
7.500000,7.2,2.28,1.1,5.94,7.5,747.735
7.541670,7.47,3.3,5.27,3.66,7.5,746.644
7.583330,6.86,3.65,1.07,2.41,7.5,746.644
7.625000,7.26,3.31,6.08,3.34,10,746.446
7.666670,9.08,3.12,6.23,3.53,10,746.148
7.708330,8.07,3.13,2.94,2.23,10,746.148
7.750000,8.95,3.62,6.14,4.08,10,745.454
7.791670,7.93,3.81,2.12,2.67,10,744.958
7.833330,7.86,3.85,3.46,4.28,10,744.958
7.875000,7.05,3.81,5.11,4.74,10,744.76
7.916670,6.51,3.2,6.5,4.56,10,744.958
7.958330,4.82,2.45,2.79,4.97,10,744.958
8.000000,3.73,1.63,3.38,5.31,7.5,745.95
8.041670,3.13,0.66,2.41,5.12,10,746.545
8.083330,2.05,-0.32,2.71,3.62,10,746.545
8.125000,0.63,-0.97,1.75,2.54,10,747.636
8.166670,1.24,-1.46,2.2,2.89,10,748.132
8.208330,0.09,-2.35,1.61,2.07,10,748.132
8.250000,0.43,-1.66,2.58,2.97,7.5,748.33
8.291670,1.05,-1.55,3.88,3.07,4.4,748.429
8.333330,0.78,-1.45,3.76,3.27,4.4,748.429
8.375000,2.47,-0.96,3.19,3.33,0,748.727
8.416670,3.75,-0.82,3.88,3.14,0,748.826
8.458330,5.31,0.18,4.01,3.42,0,748.826
8.500000,5.23,0.15,4.1,4.19,10,747.933
8.541670,5.16,0,2.62,4.21,7.5,747.636
8.583330,4.88,0.27,1.98,3.74,7.5,747.636
8.625000,6.24,0.37,3.28,3,7.5,747.537
8.666670,5.16,-0.42,1.17,3.76,0,747.636
8.708330,2.04,-1.14,1.22,2.35,0,747.636
8.750000,2.52,-0.92,2.18,2.91,7.5,747.537
8.791670,2.53,-0.65,1.71,2.87,4.4,747.537
8.833330,0.97,-1.12,1.49,2.63,4.4,747.537
8.875000,1.31,-1.03,3.08,3.21,10,747.636
8.916670,1.04,-0.57,2.49,3.13,2,747.735
8.958330,0.5,-1.07,2.53,2.93,2,747.735
9.000000,-0.3,-1.53,2.19,2.81,2,748.132
9.041670,-0.84,-2.27,1.03,3.1,10,748.231
9.083330,-1.72,-2.38,1.33,5.55,10,748.231
9.125000,-1.72,-4.01,0.92,0.44,10,749.124
9.166670,-3.27,-4.17,0.3,0.35,10,749.223
9.208330,-3.21,-4.36,0.68,2.45,10,749.223
9.250000,-2.86,-4.07,1.23,4.78,10,749.719
9.291670,-2.66,-3.72,1.68,0,10,750.115
9.333330,-2.86,-3.73,1.24,0.89,10,750.115
9.375000,-2.05,-3.09,0.76,1.08,0,751.008
9.416670,-1.37,-2.58,0.36,3.8,4.4,751.206
9.458330,0.11,-2.6,0.97,0.36,4.4,751.206
9.500000,0.85,-3.28,1.79,0.05,4.4,750.809
9.541670,1.05,-3.02,2.78,6.01,4.4,750.809
9.583330,1.11,-2.92,1.57,0.2,4.4,750.809
9.625000,0.77,-1.6,1.76,0.63,10,751.404
9.666670,0.22,-1.67,0.72,0.95,10,751.801
9.708330,0.3,-3.82,2.69,6.04,10,751.801
9.750000,0.03,-3.18,3.12,5.54,10,752.396
9.791670,-0.23,-3.6,1.77,5.84,10,752.892
9.833330,-0.77,-4.24,0.8,6.01,10,752.892
9.875000,-1.38,-4.99,2.84,5.84,10,753.884
9.916670,-1.92,-5.24,1.86,5.9,10,754.479
9.958330,-2.93,-5.4,1.48,5.97,10,754.479
10.000000,-3.13,-6.04,3.3,5.65,7.5,755.371
10.041670,-3.81,-6.21,2.55,5.88,7.5,756.165
10.083330,-3.95,-6.28,1.84,5.85,7.5,756.165
10.125000,-3.81,-5.84,1.38,5.5,10,757.156
10.166670,-3.67,-6.13,2.34,5.62,2,757.156
10.208330,-3.6,-5.97,2.41,5.95,2,757.156
10.250000,-3.73,-5.72,0.59,4.63,7.5,758.148
10.291670,-3.13,-7.26,2.56,0.69,10,758.247
10.333330,-3.13,-7.46,1.72,5.98,10,758.247
10.375000,-3.2,-8.48,3.36,0.29,7.5,759.636
10.416670,-2.92,-8.7,3.27,0.1,10,759.735
10.458330,-2.58,-9.04,2.49,0.2,10,759.735
10.500000,-2.04,-8.07,2.04,6.24,4.4,759.14
10.541670,-1.98,-8.78,3.26,6.15,0,758.941
10.583330,-1.51,-8.71,3.28,6.19,0,758.941
10.625000,-1.23,-9.02,3.02,0.1,7.5,759.437
10.666670,-1.44,-8.96,2.64,0.2,10,759.536
10.708330,-1.98,-8.57,2.09,0.19,10,759.536
10.750000,-3.07,-7.08,1.5,5.81,10,759.041
10.791670,-3.33,-7.42,2.03,6.07,10,758.644
10.833330,-3.53,-8.05,2.52,6.05,10,758.644
10.875000,-3.73,-8.75,3.07,6,10,758.743
10.916670,-4.21,-8.23,3.09,6.15,10,758.644
10.958330,-4.35,-8.6,4.18,6.1,10,758.644
11.000000,-5.23,-8.93,3.21,5.9,10,758.049
11.041670,-5.63,-8.79,1.79,5.74,10,757.85
11.083330,-6.24,-9.11,1.31,5.87,10,757.85
11.125000,-6.92,-9.22,1.6,5.52,4.4,758.049
11.166670,-7.38,-9.56,1.48,5.78,0,757.95
11.208330,-7.93,-9.84,0.84,5.86,0,757.95
11.250000,-7.93,-9.52,0.93,5.17,0,757.454
11.291670,-8.47,-10.12,0.37,0.03,0,757.355
11.333330,-8.4,-10.01,0.58,5.37,0,757.355
11.375000,-7.04,-9.45,1.56,5.98,0,757.751
11.416670,-6.02,-8.42,1.17,5.68,0,757.652
11.458330,-5.15,-8.58,2.06,5.49,0,757.652
11.500000,-4,-9.07,2.2,6.07,0,756.561
11.541670,-3.18,-8.78,2.52,5.89,0,756.065
11.583330,-2.92,-8.03,2.11,6.2,0,756.065
11.625000,-2.72,-8.05,2.11,6.16,0,755.57
11.666670,-2.31,-7.94,2.87,6.21,0,755.47
11.708330,-2.86,-7.56,1.84,0.5,0,755.47
11.750000,-3.26,-7.25,0.29,0.42,0,754.28
11.791670,-3.06,-8.22,2.06,5.67,7.5,754.082
11.833330,-3.06,-8.26,1.73,5.63,7.5,754.082
11.875000,-3.06,-7.97,1.77,5.47,10,753.388
11.916670,-3.06,-8.19,2.36,5.58,10,752.991
11.958330,-3.47,-7.29,2.81,5.58,10,752.991
12.000000,-3.81,-6.22,3.9,5.56,10,751.603
12.041670,-4.07,-5.54,3.3,5.55,10,751.206
12.083330,-4.07,-4.88,2.05,5.44,10,751.206
12.125000,-4.21,-4.57,1.52,5.12,10,750.809
12.166670,-4.28,-4.83,3.08,5.47,10,750.115
12.208330,-4.15,-4.8,2.45,5.43,10,750.115
12.250000,-4.01,-4.67,1.39,5.22,10,749.223
12.291670,-4.01,-4.77,1.19,5.85,10,748.727
12.333330,-3.81,-4.8,0.31,5.92,10,748.727
12.375000,-3.6,-4.77,1.28,1.25,10,748.727
12.416670,-2.72,-4.31,1.04,2.33,10,748.727
12.458330,-1.57,-3.63,1.89,2.33,10,748.727
12.500000,-0.76,-2.8,2.64,2.53,10,748.231
12.541670,0.86,-1.48,3.21,2.34,10,748.033
12.583330,2.07,-0.86,2.45,2.8,10,748.033
12.625000,3.42,0.37,2.97,2.91,10,748.628
12.666670,2.95,0.18,3.89,2.46,10,748.628
12.708330,3.35,0.62,3.2,2.65,10,748.628
12.750000,3.48,0.92,4.14,2.76,10,749.124
12.791670,5.1,2.17,4.07,2.91,10,749.322
12.833330,5.58,2.7,3.38,2.73,10,749.322
12.875000,5.85,2.86,3.28,3,10,749.421
12.916670,5.44,2.46,2.4,3.11,10,749.52
12.958330,3.95,2.02,1.02,3.61,10,749.52
13.000000,4.42,2.42,0.8,5.87,10,749.421
13.041670,4.15,2.57,0.31,1.23,10,748.727
13.083330,3.27,1.92,1.04,5.83,10,748.727
13.125000,2.26,1.82,1.52,5.93,10,748.528
13.166670,0.36,0.28,3.42,5.29,10,748.132
13.208330,0.36,0.36,1.67,4.27,10,748.132
13.250000,0.3,0.3,2.01,1.86,10,746.545
13.291670,1.11,1.11,0.67,2.67,10,746.644
13.333330,1.31,1.31,0.6,2.36,10,746.644
13.375000,7.61,5.74,1.66,3.11,10,745.95
13.416670,9.98,6.4,2.68,3.36,10,745.95
13.458330,11.26,6.36,3.52,2.58,10,745.95
13.500000,11.66,6.2,5.53,3.55,10,745.95
13.541670,11.3,5.99,5.01,3.21,10,745.454
13.583330,11.91,6.88,3.45,3.58,10,745.454
13.625000,13.8,6.86,4.11,3.55,2,745.95
13.666670,11.09,6.56,2.52,2.62,7.5,746.248
13.708330,9.66,6.16,3.02,2.35,7.5,746.248
13.750000,9.4,6.09,2,2.55,7.5,746.843
13.791670,8.05,5.45,2.93,2.48,10,746.743
13.833330,10.08,6.1,4.95,3.44,10,746.743
13.875000,10.35,5.51,3.86,3.29,7.5,747.834
13.916670,12.11,6.03,6.06,3.95,10,748.528
13.958330,11.43,6.02,5.74,3.68,10,748.528
14.000000,11.23,6.37,5.72,3.65,10,749.322
14.041670,11.76,7.28,6.39,4.04,10,749.322
14.083330,9.87,6.23,5.17,3.09,10,749.322
14.125000,10.14,6.59,4.93,3.01,7.5,750.909
14.166670,10.76,6.93,3.43,2.86,7.5,751.008
14.208330,9.67,6.23,4.14,2.75,7.5,751.008
14.250000,9.2,5.86,5.19,2.75,10,751.504
14.291670,9.81,5.42,4.76,2.85,10,751.999
14.333330,10.69,5.39,4.19,3.83,10,751.999
14.375000,10.08,5.21,4.88,3.73,10,752.594
14.416670,9.8,5.39,2.86,2.23,10,752.297
14.458330,10.41,5.41,3.26,3.37,10,752.297
14.500000,12.23,5.48,4.82,3.45,10,751.603
14.541670,12.3,5.63,4.27,2.8,7.5,751.107
14.583330,14.4,5.78,5.8,3.64,7.5,751.107
14.625000,16.42,6.29,5.27,3.6,10,751.504
14.666670,14.38,6.85,6.29,3.9,7.5,751.801
14.708330,11,6.95,3.68,2.15,7.5,751.801
14.750000,14.72,8.17,7.72,3.99,0,752.396
14.791670,13.85,8.2,6.87,3.69,2,752.991
14.833330,11.89,7.84,3.96,3.12,2,752.991
14.875000,13.25,7.27,3.34,4.14,2,753.884
14.916670,13.58,7.56,4.04,4.41,0,754.38
14.958330,13.85,7.47,5.43,4.45,0,754.38
15.000000,12.02,7.83,4.88,3.77,0,753.983
15.041670,11.08,7.05,4.21,3.92,0,753.983
15.083330,13.11,7.18,8.51,4.24,0,753.983
15.125000,11.55,6.14,2.97,3.97,0,754.181
15.166670,9.12,5.6,1.68,2.51,0,754.082
15.208330,10.61,5.71,4.77,3.36,0,754.082
15.250000,10.33,5.67,3.75,2.47,0,753.09
15.291670,10.67,5.36,3.29,2.11,0,753.289
15.333330,9.59,5.15,3.25,2.71,0,753.289
15.375000,11.35,5.55,3.65,2.54,0,752.793
15.416670,11.55,6.4,3.31,3.18,0,753.09
15.458330,12.36,6.4,4.57,4.06,0,753.09
15.500000,11.96,6.01,2.72,2.82,2,751.9
15.541670,11.82,5.75,2.66,2.63,0,751.206
15.583330,13.65,6.12,3.31,3.81,0,751.206
15.625000,12.77,6.86,2.99,4.2,0,750.512
15.666670,10,8.13,6,3.02,7.5,750.016
15.708330,9.79,8.26,4.31,2.91,7.5,750.016
15.750000,9.46,8.32,4.05,2.56,0,748.429
15.791670,9.72,8.46,4,2.28,10,747.338
15.833330,9.32,8.18,4.77,2.02,10,747.338
15.875000,10.54,9.03,3.19,2.81,10,744.958
15.916670,9.8,8.78,2.77,2.46,10,744.363
15.958330,10.61,8.7,4.04,2.8,10,744.363
16.000000,9.8,8.38,5.11,2.87,10,743.372
16.041670,11.28,9.06,4.49,3.5,10,743.471
16.083330,11.76,9.23,4.28,3.31,10,743.471
16.125000,11.69,8.94,4.92,3.34,10,742.975
16.166670,11.35,9.08,5.79,3.57,10,742.182
16.208330,12.02,9.14,3.75,3.11,10,742.182
16.250000,13.11,9.11,5.03,3.29,10,741.388
16.291670,13.11,9.74,5.09,3.33,10,741.884
16.333330,14.53,10.27,4.42,4.15,10,741.884
16.375000,13.57,10.01,4.21,2.87,10,742.281
16.416670,14.31,9.95,4.08,3.16,10,743.074
16.458330,14.51,10.32,3.85,2.31,10,743.074
16.500000,14.71,10.81,3.38,3.24,0,741.19
16.541670,15.66,11.27,8.03,4.29,0,741.091
16.583330,16.07,11.66,8.56,4.14,0,741.091
16.625000,16,11.55,9.66,4.25,0,740.694
16.666670,15.66,10.69,10.07,4.34,0,740.892
16.708330,14.57,10.41,8.78,4.17,0,740.892
16.750000,13.7,10.35,8.39,4.11,0,741.289
16.791670,14.17,10.25,7.7,4.07,2,741.487
16.833330,13.83,9.93,6.72,4.09,2,741.487
16.875000,13.63,9.18,4.09,4.41,4.4,740.793
16.916670,13.77,8.44,5.65,4.83,0,740.892
16.958330,12.75,8.22,9.34,4.38,0,740.892
17.000000,13.22,7.12,11.6,4.33,0,742.281
17.041670,12.62,6.71,9.69,4.46,0,742.281
17.083330,12.62,6.56,6.05,4.24,0,742.281
17.125000,12.15,6.78,5.3,3.98,0,742.876
17.166670,11.27,6.71,6.31,3.39,0,743.173
17.208330,10.94,6.72,4.42,3.05,0,743.173
17.250000,11.48,6.13,5.82,4.22,10,743.967
17.291670,11.08,5.9,2.15,4.92,10,744.463
17.333330,9.18,5.59,2,2.51,10,744.463
17.375000,12.02,6.23,2.52,4.38,10,745.653
17.416670,12.91,5.42,2.83,4.22,10,746.446
17.458330,14.79,4.67,5.3,4.02,10,746.446
17.500000,14.58,5.4,6.91,4.57,7.5,746.644
17.541670,15.05,3.66,9.3,4.82,2,746.545
17.583330,13.9,4.75,8.25,4.33,2,746.545
17.625000,12.88,4.87,8.06,4.27,7.5,747.933
17.666670,11.33,4.45,8.44,4.29,7.5,748.429
17.708330,10.45,4.26,8.32,4.46,7.5,748.429
17.750000,9.77,3.76,8.25,4.37,0,749.818
17.791670,8.91,2.95,7.37,4.19,4.4,749.917
17.833330,8.44,2.83,6.69,4.05,4.4,749.917
17.875000,8.17,2.65,8.53,3.97,0,750.71
17.916670,8.37,2.75,9.46,4.36,0,751.008
17.958330,7.7,2.6,7.48,4.2,0,751.008
18.000000,7.02,2.31,4.78,4.31,0,751.801
18.041670,6.96,2.44,5.74,4.27,0,752.099
18.083330,6.63,2.38,2.26,4.96,0,752.099
18.125000,5.48,2.43,1.31,2.32,0,752.694
18.166670,5.14,2.08,1.54,3.27,0,752.594
18.208330,5.41,2.4,3.62,2.91,0,752.594
18.250000,5.68,2.5,4.27,3.27,0,752.198
18.291670,5.07,2.46,3,2.95,0,751.603
18.333330,4.93,2.41,1.95,2.66,0,751.603
18.375000,5.75,2.56,2.56,3.05,0,751.008
18.416670,6.83,2.53,1.51,3.23,0,750.809
18.458330,6.43,2.49,2.45,5.63,0,750.809
18.500000,6.5,2.2,1.81,5.28,0,749.619
18.541670,7.1,1.27,2.26,6.21,2,748.727
18.583330,7.71,1.06,2.33,5.1,2,748.727
18.625000,7.24,1.38,1.32,5.52,0,748.628
18.666670,6.5,0.61,2.25,0.12,10,748.925
18.708330,5.55,2.36,0.41,0.67,10,748.925
18.750000,4.93,3.02,2.01,6.25,10,749.124
18.791670,4.26,2.61,1.6,0.55,10,749.124
18.833330,2.91,1.94,1.22,0.97,10,749.124
18.875000,2.31,0.45,2.41,0.09,10,749.719
18.916670,1.5,0.33,1.95,5.75,10,750.314
18.958330,2.38,0.78,3.25,6.14,10,750.314
19.000000,1.98,0.62,2.03,5.8,10,751.603
19.041670,1.03,-0.11,0.81,5.82,4.4,752.594
19.083330,0.83,-0.52,1.14,0.25,4.4,752.594
19.125000,0.22,-0.66,0.86,1.81,7.5,754.28
19.166670,-0.85,-1.67,0.9,1.69,0,754.975
19.208330,-1.39,-2.06,0.96,2,0,754.975
19.250000,-1.93,-2.47,0.8,1.45,0,755.966
19.291670,-1.04,-1.94,1.23,1.95,0,756.363
19.333330,-1.31,-2.28,1.31,1.11,0,756.363
19.375000,1.19,-0.55,0.71,1.5,0,758.247
19.416670,2.41,0.97,1.04,0.84,0,758.545
19.458330,4.63,1.68,1.95,2.43,0,758.545
19.500000,5.37,1.11,1.22,2.85,0,758.346
19.541670,6.92,1.03,1.56,3.54,0,758.247
19.583330,7.39,-0.85,1.34,3.73,0,758.247
19.625000,7.32,-0.41,1.39,2,0,759.041
19.666670,7.04,0.97,0.83,2.12,10,759.338
19.708330,2.91,-0.98,0.92,2.47,10,759.338
19.750000,1.36,-0.9,1.06,2.2,2,759.338
19.791670,1.63,-1.03,0.44,1.9,0,759.735
19.833330,0.16,-1.02,1.65,0.85,0,759.735
19.875000,-0.24,-1.44,1.32,0.35,0,760.131
19.916670,-0.44,-1.8,1.25,0.84,0,759.933
19.958330,-0.98,-2.2,1.42,0.64,0,759.933
20.000000,-1.38,-2.52,1.71,1.25,0,759.834
20.041670,-1.51,-2.92,1.55,1.13,0,759.338
20.083330,0.11,-2.39,1.94,1.93,0,759.338
20.125000,0.31,-2.46,3.87,2.42,0,758.743
20.166670,0.44,-1.95,3.67,2.51,0,757.95
20.208330,0.98,-1.78,3.67,2.3,0,757.95
20.250000,1.26,-0.41,4.61,2.62,7.5,756.859
20.291670,1.26,-0.45,3.67,2.37,7.5,756.958
20.333330,1.8,-0.08,4.87,2.9,7.5,756.958
20.375000,2.27,0.06,4.65,2.55,7.5,756.363
20.416670,2.6,0.72,4.3,2.55,10,755.867
20.458330,2.87,0.75,5.82,2.93,10,755.867
20.500000,3.75,0.18,4.44,2.71,10,754.28
20.541670,4.7,-0.53,3.92,2.92,10,752.793
20.583330,4.49,0.52,5.94,2.89,10,752.793
