$LMN.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY 2011-2015,,12/31/2010
40918,442.6835,
40919,442.5735,
40920,442.4635,
40921,442.4335,
40922,442.3635,
40923,442.1035,
40924,442.1935,
40925,442.6335,
40926,442.8235,
40927,442.9035,
40928,442.4335,
40929,442.5135,
40930,442.4935,
40931,442.3235,
40932,442.5235,
40933,442.4535,
40934,442.5635,
40935,442.8635,
40936,442.9235,
40937,442.5335,
40938,442.4835,
40939,442.4835,
40940,442.2935,
40941,442.7435,
40942,442.8535,
40943,442.4835,
40944,442.2535,
40945,442.7735,
40946,442.6035,
40947,442.5435,
40948,442.6735,
40949,442.1635,
40950,442.2835,
40951,442.4635,
40952,441.7635,
40953,442.5135,
40954,442.5235,
40955,442.3435,
40956,442.7235,
40957,442.4135,
40958,442.7935,
40959,443.1735,
40960,442.6235,
40961,442.7335,
40962,442.6935,
40963,444.3935,
40964,443.5635,
40965,442.1335,
40966,442.8335,
40967,443.1235,
40968,442.7935,
40969,442.8835,
40970,442.7535,
40971,442.5035,
40972,442.7135,
40973,442.4335,
40974,442.7535,
40975,443.4235,
40976,442.3535,
40977,442.4235,
40978,442.5735,
40979,442.4935,
40980,442.5035,
40981,443.3535,
40982,443.3135,
40983,443.0335,
40984,442.6935,
40985,443.5135,
40986,444.1235,
40987,443.1635,
40988,443.6035,
40989,443.7935,
40990,444.2235,
40991,443.5935,
40992,443.7235,
40993,443.5635,
40994,443.7635,
40995,444.2235,
40996,446.0135,
40997,444.5235,
40998,445.0935,
40999,444.5635,
41000,445.9335,
41001,446.7535,
41002,446.2435,
41003,445.4635,
41004,445.0835,
41005,444.7335,
41006,444.3735,
41007,443.6735,
41008,443.4735,
41009,443.3935,
41010,443.3535,
41011,443.6735,
41012,443.9135,
41013,444.5335,
41014,444.6435,
41015,444.0835,
41016,443.8235,
41017,443.9835,
41018,444.0035,
41019,444.1835,
41020,444.0235,
41021,444.3235,
41022,444.8635,
41023,445.6135,
41024,445.8235,
41025,447.5235,
41026,447.5635,
41027,448.7835,
41028,448.2535,
41029,447.0835,
41030,445.9135,
41031,446.0835,
41032,445.4835,
41033,444.9235,
41034,444.6235,
41035,443.9335,
41036,443.6235,
41037,443.9735,
41038,443.2935,
41039,443.2835,
41040,443.7135,
41041,443.8735,
41042,443.4035,
41043,443.5735,
41044,443.6135,
41045,444.3035,
41046,444.9735,
41047,445.6435,
41048,445.3535,
41049,444.3435,
41050,444.6235,
41051,444.0335,
41052,445.1035,
41053,446.1235,
41054,445.3435,
41055,444.2835,
41056,443.4735,
41057,442.6335,
41058,442.3735,
41059,442.8235,
41060,442.4835,
41061,442.5235,
41062,442.5735,
41063,443.2135,
41064,443.9535,
41065,444.0735,
41066,444.8835,
41067,445.4735,
41068,444.2235,
41069,443.4935,
41070,442.8335,
41071,443.0935,
41072,443.2435,
41073,442.4735,
41074,442.3035,
41075,443.6435,
41076,443.0935,
41077,442.9035,
41078,442.9635,
41079,442.8235,
41080,443.6035,
41081,442.8035,
41082,442.7935,
41083,442.7135,
41084,442.8835,
41085,443.0835,
41086,442.8035,
41087,442.7335,
41088,442.9235,
41089,442.3935,
41090,441.9635,
41091,441.8635,
41092,441.8835,
41093,441.9635,
41094,441.9835,
41095,441.7835,
41096,441.3835,
41097,441.4235,
41098,441.5135,
41099,441.2635,
41100,441.1135,
41101,441.6235,
41102,441.4535,
41103,441.5435,
41104,441.5935,
41105,440.8935,
41106,441.0535,
41107,441.2935,
41108,441.0935,
41109,441.1635,
41110,441.2235,
41111,440.9935,
41112,441.2835,
41113,440.6935,
41114,440.9835,
41115,440.6735,
41116,440.9535,
41117,441.0235,
41118,441.0835,
41119,440.7435,
41120,440.6935,
41121,440.5135,
41122,441.2635,
41123,440.7535,
41124,440.8235,
41125,440.7535,
41126,440.6635,
41127,440.6735,
41128,440.7835,
41129,440.7335,
41130,440.6535,
41131,441.0535,
41132,442.2935,
41133,442.3135,
41134,442.2935,
41135,442.3135,
41136,442.2335,
41137,442.1935,
41138,442.1935,
41139,442.2335,
41140,442.2335,
41141,442.2335,
41142,442.2535,
41143,442.2435,
41144,442.3635,
41145,442.2535,
41146,442.2935,
41147,442.2435,
41148,442.3335,
41149,442.2835,
41150,442.2735,
41151,442.2135,
41152,442.2935,
41153,442.2635,
41154,442.7935,
41155,443.3035,
41156,443.2935,
41157,443.3635,
41158,443.5535,
41159,443.8035,
41160,442.8835,
41161,442.3435,
41162,442.3535,
41163,442.0835,
41164,441.8035,
41165,441.8735,
41166,441.8935,
41167,441.8035,
41168,441.8035,
41169,442.1235,
41170,441.9535,
41171,441.7735,
41172,441.6635,
41173,441.5235,
41174,441.5135,
41175,441.9035,
41176,442.0535,
41177,441.8435,
41178,442.0635,
41179,442.0635,
41180,442.2635,
41181,442.6435,
41182,442.6135,
41183,442.4335,
41184,441.9935,
41185,441.9535,
41186,442.0535,
41187,441.9535,
41188,441.9635,
41189,442.0835,
41190,442.0735,
41191,442.0235,
41192,442.3435,
41193,442.4835,
41194,442.4935,
41195,442.2335,
41196,442.4335,
41197,442.3635,
41198,442.3635,
41199,442.5235,
41200,442.4535,
41201,442.2235,
41202,442.3235,
41203,442.4135,
41204,442.3035,
41205,442.2235,
41206,442.3635,
41207,442.5935,
41208,442.4835,
41209,442.2935,
41210,442.3835,
41211,442.4035,
41212,442.2835,
41213,442.0335,
41214,441.8935,
41215,441.9035,
41216,442.1835,
41217,442.5435,
41218,442.5635,
41219,442.4535,
41220,442.5435,
41221,442.5935,
41222,442.2535,
41223,442.2935,
41224,442.3435,
41225,442.4335,
41226,442.4535,
41227,442.3035,
41228,442.4535,
41229,442.3035,
41230,442.0735,
41231,442.1135,
41232,442.1935,
41233,442.5335,
41234,442.2735,
41235,442.4335,
41236,442.4635,
41237,442.4235,
41238,442.5135,
41239,442.3935,
41240,442.2135,
41241,442.2735,
41242,442.3635,
41243,442.5735,
41244,442.4735,
41245,442.4335,
41246,442.3935,
41247,442.0335,
41248,442.2035,
41249,441.7435,
41250,441.9535,
41251,442.3035,
41252,442.1635,
41253,441.8435,
41254,441.9735,
41255,442.2035,
41256,441.8735,
41257,441.9235,
41258,442.2135,
41259,442.0035,
41260,441.8835,
41261,442.0635,
41262,441.7535,
41263,441.9535,
41264,442.2335,
41265,442.2035,
41266,442.1335,
41267,442.2135,
41268,442.1735,
41269,441.8935,
41270,441.8235,
41271,441.8335,
41272,441.8435,
41273,442.0235,
41274,442.2935,
41275,442.2035,
41276,442.2335,
41277,441.9235,
41278,442.0235,
41279,442.0335,
41280,442.0035,
41281,442.1235,
41282,441.9035,
41283,442.0435,
41284,442.0435,
41285,442.2135,
41286,441.8935,
41287,442.0635,
41288,442.2035,
41289,442.1835,
41290,442.2135,
41291,441.9235,
41292,442.0335,
41293,441.8235,
41294,441.7735,
41295,441.8535,
41296,442.0135,
41297,441.9335,
41298,441.9735,
41299,442.2135,
41300,442.1635,
41301,442.0135,
41302,442.0735,
41303,442.3435,
41304,442.2535,
41305,442.0135,
41306,442.0035,
41307,442.3135,
41308,442.4935,
41309,442.5535,
41310,442.2735,
41311,442.0635,
41312,441.8135,
41313,442.3235,
41314,442.3035,
41315,442.5235,
41316,442.4235,
41317,442.4635,
41318,442.5135,
41319,442.3835,
41320,442.1735,
41321,442.2735,
41322,442.5235,
41323,442.3635,
41324,442.1035,
41325,442.1735,
41326,442.0735,
41327,442.0335,
41328,442.1835,
41329,442.2035,
41330,442.3535,
41331,442.3235,
41332,442.2935,
41333,442.2835,
41334,442.3035,
41335,442.4335,
41336,442.5635,
41337,442.9035,
41338,442.6135,
41339,442.3935,
41340,442.4335,
41341,442.3635,
41342,442.5335,
41343,442.2835,
41344,442.1535,
41345,442.5735,
41346,442.5335,
41347,442.4235,
41348,442.5435,
41349,442.2035,
41350,442.1235,
41351,442.4235,
41352,442.2635,
41353,442.3435,
41354,441.9835,
41355,442.1335,
41356,442.0035,
41357,442.8335,
41358,442.0035,
41359,442.1035,
41360,442.2135,
41361,442.2935,
41362,442.2835,
41363,442.4435,
41364,442.3335,
41365,442.4035,
41366,442.5135,
41367,442.4335,
41368,442.0235,
41369,441.8935,
41370,442.1835,
41371,442.4435,
41372,442.5235,
41373,442.6235,
41374,442.2135,
41375,441.8835,
41376,442.1035,
41377,441.8635,
41378,441.9435,
41379,442.1835,
41380,441.6435,
41381,441.5135,
41382,441.6535,
41383,441.4235,
41384,441.5535,
41385,441.6135,
41386,441.7835,
41387,441.8135,
41388,441.4135,
41389,441.4535,
41390,441.4135,
41391,441.4935,
41392,441.6235,
41393,441.6435,
41394,442.1435,
41395,442.0535,
41396,441.9135,
41397,441.7135,
41398,441.5635,
41399,441.7735,
41400,441.5435,
41401,442.0135,
41402,442.1935,
41403,442.4035,
41404,443.1935,
41405,443.3235,
41406,443.5935,
41407,443.9635,
41408,444.2835,
41409,444.6135,
41410,444.6035,
41411,443.8435,
41412,443.4335,
41413,443.2435,
41414,442.9335,
41415,442.6335,
41416,442.5035,
41417,442.5735,
41418,442.4335,
41419,442.2935,
41420,442.2235,
41421,441.9535,
41422,441.8335,
41423,442.1735,
41424,442.0635,
41425,442.3035,
41426,442.3735,
41427,442.1435,
41428,441.9535,
41429,441.9435,
41430,441.9735,
41431,442.1135,
41432,442.0035,
41433,442.1535,
41434,442.5035,
41435,442.4535,
41436,442.3235,
41437,442.2935,
41438,442.0835,
41439,441.9535,
41440,441.9435,
41441,441.7835,
41442,441.4435,
41443,441.7535,
41444,441.6735,
41445,441.5435,
41446,441.5835,
41447,441.9935,
41448,441.5635,
41449,441.5735,
41450,441.4535,
41451,441.6335,
41452,441.6835,
41453,441.6135,
41454,441.7235,
41455,441.8135,
41456,441.6535,
41457,441.5835,
41458,441.9235,
41459,441.5135,
41460,441.4235,
41461,441.6135,
41462,441.3435,
41463,441.4235,
41464,441.4135,
41465,441.4135,
41466,441.3635,
41467,441.3335,
41468,441.2835,
41469,441.5235,
41470,441.1635,
41471,441.4735,
41472,441.2435,
41473,441.2835,
41474,441.2535,
41475,441.2535,
41476,441.3835,
41477,441.2835,
41478,441.3635,
41479,441.2435,
41480,441.2335,
41481,441.1835,
41482,441.3035,
41483,441.2535,
41484,441.2735,
41485,441.1835,
41486,441.1835,
41487,441.3535,
41488,441.2435,
41489,441.3235,
41490,441.1435,
41491,441.2035,
41492,441.3135,
41493,441.2035,
41494,441.1635,
41495,441.2835,
41496,441.1635,
41497,441.2135,
41498,441.2235,
41499,441.2535,
41500,441.2135,
41501,441.1235,
41502,441.2435,
41503,441.2335,
41504,441.3035,
41505,441.2135,
41506,441.0035,
41507,441.0735,
41508,441.1135,
41509,441.2735,
41510,441.2035,
41511,441.4335,
41512,441.3935,
41513,441.2835,
41514,441.2335,
41515,441.0635,
41516,440.8935,
41517,441.1135,
41518,440.9935,
41519,441.4535,
41520,441.8135,
41521,442.1935,
41522,442.5235,
41523,442.3835,
41524,442.4135,
41525,442.2535,
41526,442.4535,
41527,442.5135,
41528,442.2835,
41529,442.4735,
41530,442.4635,
41531,442.1235,
41532,441.9135,
41533,442.0535,
41534,442.4035,
41535,442.1635,
41536,442.2435,
41537,442.4235,
41538,441.8335,
41539,441.8135,
41540,442.0635,
41541,442.3135,
41542,442.6035,
41543,442.4635,
41544,442.3735,
41545,442.4935,
41546,442.4535,
41547,442.3135,
41548,442.2735,
41549,442.0735,
41550,442.0335,
41551,441.9335,
41552,442.0735,
41553,442.3735,
41554,442.3135,
41555,442.5335,
41556,442.5935,
41557,442.2635,
41558,442.4935,
41559,442.5835,
41560,442.3535,
41561,442.3635,
41562,442.5335,
41563,442.4235,
41564,442.4235,
41565,442.3235,
41566,442.5235,
41567,442.1535,
41568,442.0135,
41569,441.9835,
41570,442.0435,
41571,442.2135,
41572,442.1335,
41573,442.1935,
41574,442.1935,
41575,442.2335,
41576,442.2035,
41577,442.5035,
41578,442.2535,
41579,442.2035,
41580,442.3935,
41581,442.5935,
41582,442.5135,
41583,442.4735,
41584,442.0235,
41585,441.8135,
41586,441.7735,
41587,441.8935,
41588,442.2135,
41589,442.2435,
41590,442.0335,
41591,442.0035,
41592,442.0335,
41593,442.3235,
41594,442.3835,
41595,442.3835,
41596,442.4035,
41597,442.2335,
41598,442.4535,
41599,442.2535,
41600,442.1035,
41601,442.1535,
41602,442.2135,
41603,442.2635,
41604,442.3435,
41605,442.3035,
41606,442.2735,
41607,442.3435,
41608,442.5035,
41609,442.5235,
41610,442.4035,
41611,442.6635,
41612,442.5735,
41613,442.5335,
41614,442.3835,
41615,442.3235,
41616,442.4335,
41617,442.4835,
41618,442.3935,
41619,442.4235,
41620,442.3635,
41621,442.3535,
41622,442.1835,
41623,442.2835,
41624,442.4035,
41625,442.4335,
41626,442.2535,
41627,442.4135,
41628,442.2635,
41629,442.2035,
41630,442.2835,
41631,442.2735,
41632,442.4635,
41633,442.4135,
41634,442.4435,
41635,442.4935,
41636,442.5835,
41637,442.4535,
41638,442.3435,
41639,442.3235,
41640,442.5635,
41641,442.4235,
41642,442.3035,
41643,442.4635,
41644,442.5035,
41645,442.5535,
41646,442.5435,
41647,442.5035,
41648,442.3935,
41649,442.4235,
41650,442.5035,
41651,442.6935,
41652,442.7535,
41653,442.7335,
41654,442.5735,
41655,442.3135,
41656,442.1335,
41657,442.2335,
41658,442.3835,
41659,442.4535,
41660,442.5235,
41661,442.4135,
41662,442.4435,
41663,442.5135,
41664,442.5035,
41665,442.4435,
41666,442.3735,
41667,442.1835,
41668,442.1235,
41669,442.1435,
41670,442.4535,
41671,442.4435,
41672,442.5635,
41673,442.5135,
41674,442.3435,
41675,442.0535,
41676,441.5735,
41677,442.1735,
41678,442.2035,
41679,442.1335,
41680,442.1935,
41681,442.4235,
41682,442.3835,
41683,442.3235,
41684,442.6035,
41685,442.4935,
41686,442.7235,
41687,442.6735,
41688,442.9235,
41689,442.6135,
41690,442.7335,
41691,442.6735,
41692,442.5035,
41693,442.6635,
41694,442.6535,
41695,442.5435,
41696,442.3235,
41697,442.1935,
41698,442.2935,
41699,442.6935,
41700,442.9635,
41701,442.6735,
41702,442.6135,
41703,443.0635,
41704,442.9035,
41705,443.8235,
41706,444.3235,
41707,443.9835,
41708,443.7835,
41709,444.7035,
41710,445.1735,
41711,444.5535,
41712,443.7235,
41713,443.5235,
41714,443.3035,
41715,443.0735,
41716,443.5735,
41717,443.0035,
41718,443.1835,
41719,443.1335,
41720,443.3835,
41721,442.8035,
41722,442.7035,
41723,442.5735,
41724,442.7835,
41725,442.7235,
41726,442.9135,
41727,443.1035,
41728,442.8735,
41729,443.5535,
41730,443.2435,
41731,443.2035,
41732,442.8435,
41733,442.0135,
41734,442.2335,
41735,442.2735,
41736,442.1435,
41737,442.4335,
41738,442.3735,
41739,442.2335,
41740,442.8135,
41741,442.5735,
41742,442.8335,
41743,442.7635,
41744,442.6935,
41745,442.6135,
41746,442.3035,
41747,442.3535,
41748,442.4535,
41749,442.1535,
41750,442.3135,
41751,442.1735,
41752,442.7335,
41753,442.3535,
41754,442.4635,
41755,442.7235,
41756,442.6235,
41757,442.1535,
41758,442.6435,
41759,442.4735,
41760,442.1835,
41761,441.9735,
41762,442.4335,
41763,442.5535,
41764,442.9635,
41765,443.3735,
41766,443.4235,
41767,443.0235,
41768,442.8535,
41769,442.6635,
41770,442.9035,
41771,442.6735,
41772,442.2735,
41773,442.2835,
41774,442.2235,
41775,442.3935,
41776,442.9735,
41777,443.2235,
41778,444.0335,
41779,444.2235,
41780,443.8835,
41781,443.5335,
41782,443.7135,
41783,444.3335,
41784,444.6335,
41785,445.0235,
41786,445.0335,
41787,444.8035,
41788,444.7235,
41789,444.5335,
41790,444.4235,
41791,444.2135,
41792,444.0435,
41793,443.7835,
41794,443.7935,
41795,443.9035,
41796,443.7835,
41797,443.8235,
41798,443.5835,
41799,443.3935,
41800,443.4835,
41801,443.1635,
41802,443.0535,
41803,443.0235,
41804,442.9435,
41805,442.6235,
41806,442.3735,
41807,442.2235,
41808,442.3835,
41809,442.3035,
41810,442.1435,
41811,442.0835,
41812,442.2135,
41813,442.3135,
41814,442.2635,
41815,442.3135,
41816,442.2735,
41817,442.2335,
41818,442.2635,
41819,442.6035,
41820,442.5135,
41821,442.2935,
41822,442.2635,
41823,442.2535,
41824,442.0635,
41825,442.0235,
41826,442.0635,
41827,441.9935,
41828,442.1035,
41829,441.9735,
41830,441.8935,
41831,441.7535,
41832,441.8435,
41833,441.7835,
41834,441.8035,
41835,441.5935,
41836,441.6635,
41837,441.6135,
41838,441.4735,
41839,441.6135,
41840,441.5435,
41841,441.5535,
41842,441.5135,
41843,441.3335,
41844,441.4535,
41845,441.5235,
41846,441.3435,
41847,441.2835,
41848,441.3435,
41849,441.3535,
41850,441.5435,
41851,441.3435,
41852,441.5435,
41853,441.3135,
41854,441.2835,
41855,441.2535,
41856,441.3435,
41857,441.2635,
41858,441.2135,
41859,441.4035,
41860,441.2635,
41861,441.2135,
41862,441.1135,
41863,441.1335,
41864,441.2935,
41865,441.1935,
41866,441.2235,
41867,441.2935,
41868,441.2435,
41869,441.2235,
41870,441.1035,
41871,441.0335,
41872,441.1335,
41873,441.2235,
41874,441.2835,
41875,441.2635,
41876,441.2035,
41877,441.3535,
41878,441.2235,
41879,441.3135,
41880,441.3435,
41881,441.2835,
41882,441.2635,
41883,441.1835,
41884,442.0035,
41885,442.7135,
41886,442.7335,
41887,442.6635,
41888,442.2535,
41889,442.4435,
41890,442.5535,
41891,442.6935,
41892,442.7435,
41893,442.4835,
41894,442.5635,
41895,442.4935,
41896,442.2735,
41897,442.2935,
41898,442.2435,
41899,442.3135,
41900,442.4535,
41901,442.3635,
41902,442.3635,
41903,442.0335,
41904,442.0335,
41905,442.4135,
41906,442.3335,
41907,441.6735,
41908,441.5535,
41909,441.8235,
41910,442.0935,
41911,442.0235,
41912,442.1035,
41913,442.0935,
41914,442.0535,
41915,442.1435,
41916,442.1335,
41917,442.2435,
41918,442.3435,
41919,442.2835,
41920,442.1635,
41921,442.2835,
41922,442.2835,
41923,442.2735,
41924,442.3935,
41925,442.3335,
41926,442.2835,
41927,442.3635,
41928,442.2635,
41929,442.2035,
41930,442.2235,
41931,442.3535,
41932,442.5635,
41933,442.5135,
41934,442.4635,
41935,442.3935,
41936,442.4135,
41937,442.3335,
41938,442.3335,
41939,442.5635,
41940,442.4435,
41941,442.2835,
41942,442.3635,
41943,442.3635,
41944,442.4935,
41945,442.5535,
41946,442.5735,
41947,442.5735,
41948,442.4935,
41949,442.4135,
41950,442.5735,
41951,442.5635,
41952,442.4935,
41953,442.1235,
41954,442.0635,
41955,442.0235,
41956,442.2235,
41957,442.3335,
41958,442.1935,
41959,442.3035,
41960,442.3335,
41961,442.4835,
41962,442.5035,
41963,442.1735,
41964,442.0735,
41965,442.0835,
41966,442.0735,
41967,441.9635,
41968,442.4335,
41969,442.5435,
41970,442.5335,
41971,442.4035,
41972,442.3035,
41973,442.5835,
41974,442.5135,
41975,442.4535,
41976,442.5235,
41977,442.3335,
41978,442.3635,
41979,442.3035,
41980,442.3835,
41981,442.3535,
41982,442.1335,
41983,442.1235,
41984,442.2135,
41985,442.3935,
41986,442.5835,
41987,442.3935,
41988,442.4835,
41989,442.3235,
41990,442.1835,
41991,442.2835,
41992,442.0435,
41993,441.9535,
41994,441.7935,
41995,441.6535,
41996,441.6235,
41997,441.7535,
41998,441.8035,
41999,442.1835,
42000,442.4635,
42001,442.3935,
42002,441.8935,
42003,441.7135,
42004,442.4935,
42005,442.4435,
42006,442.4135,
42007,442.3335,
42008,442.3735,
42009,442.2935,
42010,442.1435,
42011,441.8135,
42012,442.2035,
42013,442.5635,
42014,442.3835,
42015,442.3135,
42016,442.4635,
42017,442.1635,
42018,442.2635,
42019,442.3535,
42020,442.4935,
42021,442.4635,
42022,442.3035,
42023,442.6135,
42024,442.7735,
42025,442.8735,
42026,442.5935,
42027,442.3435,
42028,442.4035,
42029,442.4535,
42030,442.2835,
42031,442.5235,
42032,442.4435,
42033,442.5335,
42034,442.6235,
42035,442.6135,
42036,442.5435,
42037,442.6335,
42038,442.6735,
42039,442.6535,
42040,442.7035,
42041,442.2935,
42042,442.5935,
42043,442.7035,
42044,442.1735,
42045,442.4635,
42046,443.3735,
42047,443.9135,
42048,443.6535,
42049,443.5435,
42050,443.3435,
42051,443.1135,
42052,442.5835,
42053,442.3035,
42054,442.5135,
42055,442.4735,
42056,442.0935,
42057,441.9935,
42058,442.2435,
42059,442.4935,
42060,442.8135,
42061,442.7035,
42062,442.6835,
42063,442.5035,
42064,442.2835,
42065,442.2835,
42066,442.6035,
42067,442.4535,
42068,442.6735,
42069,442.4435,
42070,442.3935,
42071,442.8035,
42072,442.3535,
42073,442.2635,
42074,442.2435,
42075,442.2435,
42076,442.2835,
42077,441.8535,
42078,442.0435,
42079,442.3035,
42080,442.6635,
42081,442.6335,
42082,442.7935,
42083,442.8135,
