$ DENI 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,
3.125000,-5.12,-7.6,1.8,0.2,0,743.19
3.166670,-5.26,-7.31,1.75,0.14,0,743.29
3.208330,-4.79,-6.91,1.62,0.19,10,743.49
3.250000,-4.79,-6.87,1.77,0.27,10,743.59
3.291670,-4.86,-6.83,1.51,0.2,7.5,743.89
3.333330,-4.58,-6.47,1.54,0.28,10,743.99
3.375000,-3.98,-6.23,1.73,0.3,4.4,744.39
3.416670,-3.18,-5.94,1.47,6.21,7.5,744.59
3.458330,-2.44,-5.48,0.31,5.64,7.5,744.29
3.500000,-2.31,-5.22,0.79,4.67,7.5,743.69
3.541670,-1.3,-5.05,0.99,4.17,0,743.19
3.583330,-1.37,-4.76,1.04,4.49,0,743.09
3.625000,-1.24,-4.89,0.15,5.66,0,743.29
3.666670,-1.71,-3.54,1.1,0.24,4.4,743.39
3.708330,-2.18,-3.62,1.6,0.32,0,743.69
3.750000,-2.65,-4.02,1.52,0.36,0,743.59
3.791670,-2.51,-3.96,1.71,0.25,4.4,743.99
3.833330,-2.58,-4.05,1.43,0.26,10,743.99
3.875000,-2.38,-4.14,1.52,6.28,10,743.99
3.916670,-2.45,-4.02,1.07,0.21,0,743.99
3.958330,-2.45,-4.3,1.26,0.15,10,743.89
4.000000,-2.45,-4.51,1.38,6.02,2,743.79
4.041670,-2.71,-4.24,1.03,0.24,7.5,743.69
4.083330,-2.58,-4.44,0.79,5.82,7.5,743.99
4.125000,-2.71,-3.97,1.24,0.33,4.4,743.69
4.166670,-2.58,-4.42,1.3,0.26,0,743.59
4.208330,-2.91,-4.5,1.24,0.36,0,743.39
4.250000,-2.91,-4.57,0.73,1.04,0,743.09
4.291670,-3.12,-4.73,1.3,0.33,2,743.29
4.333330,-3.52,-5.4,1.11,0.27,0,743.49
4.375000,-2.44,-5.22,0.59,0.94,0,743.69
4.416670,-1.83,-5.64,1.43,1.94,0,743.69
4.458330,-1.23,-5.09,0.69,6.25,0,743.09
4.500000,-0.97,-4.76,1.1,4.19,10,742.59
4.541670,0.83,-5,0.54,4.1,4.4,742.09
4.583330,0.16,-3.86,0.59,2.9,4.4,741.99
4.625000,-0.31,-3.72,0.63,2.35,4.4,741.99
4.666670,-0.91,-2.46,0.4,0.41,10,741.99
4.708330,-1.11,-2.68,1.19,0.49,7.5,741.89
4.750000,-1.24,-2.43,1.14,0.49,10,741.79
4.791670,-1.31,-3.11,1.22,0.54,0,741.89
4.833330,-1.51,-3.33,1.19,0.65,7.5,741.79
4.875000,-1.85,-2.88,0.89,0.46,10,741.89
4.916670,-1.37,-3.15,0.73,0.65,10,741.99
4.958330,-1.58,-2.93,1.25,0.26,10,741.99
5.000000,-1.44,-3.06,1.14,0.29,10,742.09
5.041670,-1.31,-3.1,0.78,0.47,10,742.69
5.083330,-1.44,-2.9,1.58,0.65,10,743.09
5.125000,-1.58,-2.23,0.78,0.2,10,743.39
5.166670,-1.44,-2.3,0.49,1.01,10,743.29
5.208330,-1.44,-2.2,0.33,0.62,10,743.59
5.250000,-1.65,-2.41,0.94,0.5,10,743.89
5.291670,-1.11,-2.28,1.1,0.79,10,743.79
5.333330,-1.11,-2.27,1.35,0.62,10,743.89
5.375000,-0.57,-2.14,1.3,0.35,10,744.29
5.416670,-0.16,-1.92,0.97,0.55,10,744.49
5.458330,0.63,-1.81,0.63,0.29,7.5,744.69
5.500000,1.11,-1.51,1.25,1.66,7.5,744.09
5.541670,1.37,-1.22,0.59,0.59,2,743.79
5.583330,1.37,-1.09,1.1,2.04,0,743.99
5.625000,1.77,-0.58,0.59,0.87,10,744.09
5.666670,1.3,-0.26,1.25,0.82,10,744.39
5.708330,0.89,-0.21,1.46,0.35,0,744.19
5.750000,0.76,-0.16,1.21,0.55,0,744.19
5.791670,0.7,-0.21,1.65,0.64,2,744.29
5.833330,0.76,-0.16,1.27,0.29,0,744.19
5.875000,0.9,-0.1,1,0.45,7.5,744.49
5.916670,0.83,-0.05,1.38,0.5,2,744.69
5.958330,1.1,0.05,0.98,0.47,4.4,744.69
6.000000,0.76,0.07,1.19,0.55,10,744.49
6.041670,0.9,0.17,1.14,0.37,10,744.19
6.083330,0.9,0.08,0.83,0.56,7.5,743.89
6.125000,0.96,0.06,1.36,0.34,10,743.99
6.166670,0.96,0.17,1.1,0.49,10,743.59
6.208330,1.1,0.37,1.01,0.38,7.5,743.59
6.250000,0.96,0.17,1.39,0.55,4.4,743.49
6.291670,1.3,0.4,1.32,0.29,7.5,742.99
6.333330,1.03,0.29,1.18,0.37,7.5,743.19
6.375000,1.56,0.65,1.31,0.84,7.5,743.19
6.416670,1.5,0.67,0.82,0.41,2,743.29
6.458330,1.63,0.84,0.87,0.54,7.5,742.89
6.500000,2.1,0.91,0.92,1,10,742.49
6.541670,2.17,1.26,1.05,1.23,10,742.19
6.583330,1.9,1.26,0.69,0.51,10,742.49
6.625000,1.36,1.04,1.2,0.43,10,742.59
6.666670,1.36,1.02,1.1,0.39,10,742.69
6.708330,1.3,1,1.09,0.59,10,742.39
6.750000,1.56,1.18,1.03,1.32,7.5,742.39
6.791670,1.23,0.92,1.3,0.33,10,742.39
6.833330,1.16,0.83,0.93,0.4,10,742.09
6.875000,1.16,0.81,1.17,0.31,10,741.89
6.916670,1.83,1.47,1.42,0.73,10,741.89
6.958330,1.23,0.76,1.26,0.33,10,741.69
7.000000,1.5,1.23,1.43,0.53,10,741.29
7.041670,1.16,0.82,1.32,0.53,10,740.89
7.083330,1.63,1.31,1.12,0.6,10,740.79
7.125000,1.43,1.13,1.48,0.43,10,739.89
7.166670,1.36,0.98,1.13,0.94,10,739.39
7.208330,1.63,1.32,1.31,0.39,10,738.79
7.250000,1.7,1.33,0.9,0.3,10,738.39
7.291670,1.3,0.88,1.31,0.4,10,738.09
7.333330,1.56,1.1,1.13,0.55,7.5,737.89
7.375000,1.7,1.34,0.97,0.53,2,738.09
7.416670,2.77,2.05,0.57,1.18,0,738.09
7.458330,2.91,1.96,0.99,1.4,0,737.29
7.500000,2.57,2.06,0.96,0.51,7.5,736.59
7.541670,3.18,2.43,1.01,0.83,7.5,736.09
7.583330,2.1,1.59,1.01,0.4,2,736.09
7.625000,2.03,1.62,1.03,0.74,10,735.99
7.666670,1.9,1.41,1.1,0.46,10,735.89
7.708330,1.9,1.46,1.4,0.1,10,735.69
7.750000,1.9,1.61,1.18,0.33,10,734.89
7.791670,1.56,1.18,1.11,0.47,10,734.29
7.833330,1.83,1.55,0.77,0.25,10,733.59
7.875000,1.76,1.55,1.21,0.37,10,733.39
7.916670,1.76,1.5,1.05,0.84,10,733.19
7.958330,1.36,1.05,0.97,0.7,10,733.29
8.000000,1.63,1.39,0.49,6.2,7.5,733.09
8.041670,1.23,0.88,1.12,0.17,10,733.19
8.083330,1.56,1.27,1.51,0.1,10,733.79
8.125000,1.7,1.43,1.17,0.72,10,734.29
8.166670,2.91,-0.28,2.94,4.94,10,734.59
8.208330,1.7,-0.22,1.66,0.15,4.4,734.89
8.250000,1.9,-1.55,1.95,0.25,7.5,735.09
8.291670,1.76,-2.27,1.15,0.02,4.4,735.39
8.333330,1.3,-1.92,1.8,0.2,0,735.69
8.375000,2.23,-3.14,1.93,6.23,0,735.99
8.416670,2.03,-2.08,1.45,5.95,0,735.89
8.458330,2.77,-4.05,2.78,4.12,7.5,735.49
8.500000,2.77,-3.68,1.18,5.37,10,734.99
8.541670,3.18,-3.98,1.63,4.8,7.5,734.99
8.583330,2.91,-2.77,1.75,0.28,2,734.99
8.625000,3.31,-2.92,3.45,4.22,7.5,735.19
8.666670,1.02,-2.03,1.31,0.41,0,735.29
8.708330,0.76,-1.86,1.57,0.24,0,735.39
8.750000,0.62,-1.5,1.41,0.25,7.5,735.49
8.791670,-0.18,-1.63,1.9,0.32,4.4,735.39
8.833330,-0.18,-0.18,1.39,0.21,10,735.39
8.875000,-0.24,-0.55,1.94,0.25,10,735.29
8.916670,-0.51,-0.51,1.74,0.2,2,735.59
8.958330,-0.31,-0.31,1.01,0.88,7.5,735.49
9.000000,-0.37,-0.37,2.37,0.06,2,735.49
9.041670,-0.37,-1.09,0.95,0.25,10,735.69
9.083330,-0.24,-0.86,1.04,0.43,0,735.99
9.125000,-0.17,-0.86,1.19,0.41,10,736.19
9.166670,-0.1,-0.82,1.25,5.59,10,736.19
9.208330,-0.51,-0.85,0.74,0.78,10,736.09
9.250000,-0.57,-0.91,0.35,4.43,10,736.29
9.291670,-0.57,-0.89,0,0,10,736.49
9.333330,-0.57,-0.88,0,0,7.5,736.99
9.375000,-0.17,-0.63,0,0,0,737.39
9.416670,0.22,-1.17,0,0,4.4,737.59
9.458330,0.56,-1.66,0.62,4.95,4.4,737.29
9.500000,0.36,-2.6,1.52,5.15,4.4,737.09
9.541670,0.42,-2.5,1.95,4.6,4.4,737.09
9.583330,0.69,-3.18,2.46,4.15,2,737.49
9.625000,0.96,-2.77,3.81,4,10,737.69
9.666670,-0.04,-3.16,3.04,4.3,10,738.19
9.708330,-1.59,-2.97,1.67,0.56,7.5,738.59
9.750000,-2.06,-3.31,2,0.27,10,738.79
9.791670,-1.85,-3.14,1.25,0.23,10,739.29
9.833330,-1.24,-4.91,2.16,1.94,10,739.59
9.875000,-2.32,-5.45,2.11,1.43,10,740.29
9.916670,-2.86,-5.71,1.02,1.12,10,740.79
9.958330,-3.46,-5.65,1.11,1.07,7.5,741.19
10.000000,-3.8,-6.35,1.2,1.56,7.5,741.69
10.041670,-4.13,-7.31,1.01,1.11,7.5,742.29
10.083330,-4.2,-8.06,1.69,0.94,10,742.99
10.125000,-4.46,-7.95,1.53,1.38,10,743.39
10.166670,-4.8,-7.86,1.12,0.72,2,743.69
10.208330,-4.86,-8.02,1.68,1.28,7.5,743.79
10.250000,-5.2,-8.88,1.73,0.92,7.5,744.19
10.291670,-5.4,-8.71,1.31,0.78,10,744.59
10.333330,-5.4,-9.01,1.43,0.89,7.5,744.59
10.375000,-5.87,-9.2,1.19,0.51,7.5,745.59
10.416670,-4.52,-9.43,2.43,2.69,10,745.99
10.458330,-3.78,-8.85,1.52,2.39,10,745.89
10.500000,-3.52,-8.86,3.21,2.72,4.4,745.69
10.541670,-2.91,-8.5,2,2.43,0,745.69
10.583330,-3.59,-7.92,1.85,2.44,7.5,745.79
10.625000,-2.45,-8.09,2.45,2.49,7.5,745.99
10.666670,-3.6,-7.52,2.75,2.6,10,746.49
10.708330,-5.75,-8.66,1.53,0.46,10,746.69
10.750000,-7.08,-9.32,1.87,0.25,10,746.69
10.791670,-7.48,-9.26,1.94,0.32,10,746.79
10.833330,-8.7,-10.78,2.25,0.41,10,746.79
10.875000,-8.29,-10.4,2.65,0.39,10,746.99
10.916670,-9.02,-10.99,2.28,0.45,10,747.19
10.958330,-9.23,-11.53,2.69,0.55,10,746.99
11.000000,-8.89,-11.77,3.04,0.37,10,746.69
11.041670,-8.69,-11.51,1.92,0.12,10,746.59
11.083330,-8.08,-10.55,2.53,0.26,7.5,746.59
11.125000,-8.35,-10.57,2.77,0.43,4.4,746.69
11.166670,-8.22,-10.51,2.61,0.64,0,746.69
11.208330,-9.23,-11.41,2.06,0.53,0,746.49
11.250000,-9.36,-11.9,2.45,0.42,0,746.19
11.291670,-10.37,-12.61,2.14,0.33,0,746.19
11.333330,-9.76,-12.25,2.25,0.35,0,745.1370592
11.375000,-8.21,-11.57,1.73,0.82,0,745.1370592
11.416670,-5.92,-10.81,1.88,2.17,0,744.8715104
11.458330,-5.12,-10.1,3.67,2.79,0,744.3404128
11.500000,-4.45,-9.7,1.65,2.01,0,743.5437664
11.541670,-3.45,-9.48,1.01,1.57,0,742.74712
11.583330,-3.31,-8.18,2.4,2.56,0,742.74712
11.625000,-2.91,-7.69,1.48,1.93,0,742.4815712
11.666670,-3.25,-8.05,0.68,1.13,0,742.2160224
11.708330,-4.39,-6.98,1.48,0.38,2,741.9504736
11.750000,-5.13,-7.45,1.69,0.36,0,741.6849248
11.791670,-5.4,-7.45,1.74,0.45,7.5,741.6849248
11.833330,-4.92,-7.19,1.41,0.29,10,741.419376
11.875000,-5.66,-7.72,1.68,0.24,10,741.419376
11.916670,-5.33,-7.51,1.81,0.34,10,741.1538272
11.958330,-4.92,-7.16,1.8,0.37,10,741.1538272
12.000000,-4.86,-7.08,1.74,0.43,10,740.091632
12.041670,-4.66,-7.27,2.13,0.45,10,740.091632
12.083330,-4.18,-7.08,1.27,0.67,10,739.5605344
12.125000,-4.52,-6.38,1.09,0.6,10,739.2949856
12.166670,-4.39,-5.9,1.1,1.18,10,739.0294368
12.208330,-3.98,-5.8,1.43,1.29,10,738.4983392
12.250000,-4.06,-5.12,0.75,1.09,10,737.9672416
12.291670,-3.92,-4.72,0.79,0.59,10,737.9672416
12.333330,-3.72,-4.61,0.75,0.75,10,737.7016928
12.375000,-3.38,-4.26,1.13,1.34,10,737.7016928
12.416670,-3.11,-4.18,1.05,1.55,10,737.7016928
12.458330,-2.84,-4.21,1.09,1.21,10,738.18
12.500000,-2.57,-3.94,1.17,1.35,10,737.89
12.541670,-2.03,-3.44,0.8,1.41,10,737.89
12.583330,-1.84,-3.35,1.49,1.16,10,738.09
12.625000,-1.57,-3.02,1.17,1.68,10,738.39
12.666670,-1.51,-2.78,1.37,1.36,10,738.69
12.708330,-1.37,-2.67,1.18,1.45,10,738.99
12.750000,-1.17,-2.45,1.8,0.94,10,739.49
12.791670,-1.03,-1.95,0.54,1.81,10,739.99
12.833330,-0.63,-1.21,2.12,1.78,10,740.19
12.875000,-0.16,-0.61,0.41,0.86,10,740.49
12.916670,0.16,-0.22,0.63,0.98,10,740.49
12.958330,0.37,0.01,1.22,1.41,10,740.59
13.000000,0.43,0.04,1.05,1.65,10,740.09
13.041670,0.57,0.15,1.22,1.48,10,739.59
13.083330,0.63,0.28,0.85,0.82,10,739.49
13.125000,0.63,0.34,0.85,0.51,10,739.59
13.166670,0.7,0.43,0.8,1.16,10,738.89
13.208330,0.43,0.2,0.48,0.59,10,738.09
13.250000,0.63,0.36,0.8,0.4,10,737.59
13.291670,0.7,0.46,1,0.44,10,737.49
13.333330,0.7,0.45,1.26,0.55,10,737.49
13.375000,0.9,0.56,1.27,0.31,10,737.09
13.416670,1.1,0.79,1.23,0.49,10,736.79
13.458330,1.43,0.98,1.43,0.23,10,736.29
13.500000,1.57,1.25,0.95,0.24,10,736.19
13.541670,1.83,1.41,0.62,0.62,10,735.79
13.583330,2.03,1.68,0.94,1.27,10,736.39
13.625000,1.9,1.58,0.71,0.91,2,736.79
13.666670,1.7,1.4,0.97,0.56,7.5,737.19
13.708330,1.56,1.3,1.31,0.58,7.5,737.19
13.750000,1.63,1.36,1.11,0.34,7.5,737.39
13.791670,1.56,1.28,0.93,0.58,10,737.39
13.833330,1.5,1.21,0.91,0.3,10,737.69
13.875000,1.76,1.47,1.04,0.57,7.5,737.99
13.916670,1.7,1.37,1.09,0.4,10,738.49
13.958330,1.63,1.36,0.77,0.55,10,738.69
14.000000,1.56,1.31,0.8,0.44,10,738.89
14.041670,1.76,1.5,0.76,0.43,10,739.59
14.083330,1.7,1.41,1.2,0.81,10,739.99
14.125000,1.43,1.15,1.04,0.4,7.5,740.19
14.166670,1.56,1.31,1.07,0.38,7.5,740.69
14.208330,1.43,1.11,0.86,0.2,10,740.69
14.250000,1.36,1.1,0.76,0.53,10,740.99
14.291670,1.83,1.6,1.12,0.48,10,741.19
14.333330,1.56,1.25,0.69,0.33,10,742.09
14.375000,1.97,1.71,0.55,0.85,10,742.89
14.416670,2.17,1.91,0.77,6.2,10,743.49
14.458330,2.51,2.12,0.31,5.76,7.5,742.99
14.500000,2.51,2.18,0.27,0.71,10,742.59
14.541670,2.51,2.25,0.13,5.9,7.5,742.09
14.583330,2.3,2.02,0.31,0.03,10,741.89
14.625000,2.1,1.87,0.68,0.46,10,741.89
14.666670,2.17,1.88,0.62,0.06,7.5,742.19
14.708330,2.17,1.93,0.85,0.54,0,741.89
14.750000,2.1,1.82,0.76,1.17,0,741.99
14.791670,2.23,1.97,1.01,0.82,2,742.19
14.833330,2.37,2.1,0.87,0.28,7.5,742.89
14.875000,1.97,1.71,0.8,0.22,2,743.89
14.916670,1.9,1.63,0.81,0.04,0,743.69
14.958330,2.37,2.17,1.3,0.23,2,743.89
15.000000,1.97,1.76,1.16,0.48,0,743.39
15.041670,2.1,1.89,0.86,2.35,0,743.59
15.083330,1.56,1.27,0.96,0.44,0,743.89
15.125000,2.17,1.88,1.25,1.34,0,743.99
15.166670,2.17,1.93,1.29,0.37,0,743.89
15.208330,2.1,1.89,1.26,0.43,0,743.29
15.250000,2.1,1.86,0.76,0.38,0,743.19
15.291670,1.9,1.69,0.7,0.25,0,742.99
15.333330,1.76,1.57,0.67,0.94,0,743.09
15.375000,2.03,1.71,1.11,0.43,0,743.19
15.416670,2.71,2.07,1.43,1.53,0,743.29
15.458330,3.18,2.41,0.34,1.65,2,742.49
15.500000,3.51,2.58,0.47,0.03,2,741.39
15.541670,4.25,3.11,1,0.91,0,740.59
15.583330,4.38,3.21,1.37,1.57,0,739.89
15.625000,3.3,2.5,1.02,0.67,0,739.89
15.666670,3.71,3.42,1.15,0.57,7.5,739.69
15.708330,2.97,2.62,1.08,0.35,4.4,739.09
15.750000,2.84,2.35,1.02,0.68,0,738.19
15.791670,2.43,2.12,0.8,0.45,10,737.49
15.833330,2.3,2,1.02,0.7,10,736.59
15.875000,2.51,2.31,0.75,0.76,10,735.19
15.916670,2.17,1.97,1.02,0.21,10,735.19
15.958330,2.51,2.31,1.28,1.11,10,734.49
16.000000,2.17,1.96,1.13,0.44,10,734.09
16.041670,2.3,2.15,0.65,0.19,10,733.59
16.083330,2.03,1.9,0.78,0.22,10,733.29
16.125000,2.37,2.23,1.43,0.98,10,733.09
16.166670,2.43,2.27,0.72,0.55,10,732.89
16.208330,2.3,2.17,0.45,1.09,10,731.79
16.250000,2.17,2.04,0.8,0.25,10,731.69
16.291670,2.23,2.11,0.75,0.41,10,731.59
16.333330,2.71,2.57,1.01,0.62,10,731.79
16.375000,2.57,2.45,0.89,0.31,10,732.09
16.416670,2.77,2.59,0.45,0.66,10,732.39
16.458330,3.04,2.9,0.68,0.29,10,732.29
16.500000,3.04,2.87,0.43,0.31,0,731.19
16.541670,3.51,3.33,0.26,1.55,0,730.39
16.583330,3.24,3.06,0.49,6.14,0,730.39
16.625000,3.51,3.34,0.51,1.2,0,730.39
16.666670,3.17,2.96,0.53,0.06,0,730.29
16.708330,3.31,3.15,0.96,6.27,0,730.29
16.750000,2.63,2.46,0.89,0.33,0,730.19
16.791670,2.37,2.21,0.98,0.34,2,730.39
16.833330,2.23,2.08,1.25,0.26,2,730.39
16.875000,2.3,2.12,0.89,0.5,4.4,730.69
16.916670,2.64,2.47,1,0.59,0,730.69
16.958330,2.3,2.13,0.96,0.2,0,730.89
17.000000,2.84,2.7,0.82,0.13,0,731.09
17.041670,4.46,4.01,0.96,1.74,0,731.19
17.083330,11.72,5.39,3.35,5.69,0,731.49
17.125000,7.93,5.11,1.15,0.34,0,731.49
17.166670,7.2,5.13,1.55,1.37,0,731.09
17.208330,6.72,4.9,1.44,1.05,7.5,731.09
17.250000,5.92,4.34,0.98,0.4,10,731.29
17.291670,5.98,5.12,2.07,0.63,10,731.59
17.333330,6.59,6.07,2.13,0.41,0,732.09
17.375000,5.18,5.05,1.63,0.81,10,732.59
17.416670,6.72,5.95,1.64,0.33,10,732.99
17.458330,7.4,5.65,1.42,0.02,10,733.19
17.500000,6.72,5.95,2.07,0.24,7.5,733.59
17.541670,7.4,5.78,1.79,0.65,2,733.69
17.583330,8.33,5.55,2.01,0.1,4.4,734.29
17.625000,9.27,3.78,1.94,6.12,7.5,734.89
17.666670,6.52,4.44,1.73,0.17,7.5,735.49
17.708330,7.05,4.5,1.35,0.59,7.5,735.79
17.750000,5.98,3.8,1.28,0.42,0,736.09
17.791670,5.37,3.96,1.38,0.58,4.4,736.79
17.833330,5.51,3.13,1.22,0.34,0,737.39
17.875000,5.45,5.45,2.02,0.28,0,737.79
17.916670,6.05,2.4,1.21,0.15,0,738.19
17.958330,4.64,2.04,1.4,6.11,0,738.39
18.000000,5.85,1.56,2.11,5.89,0,739.09
18.041670,6.05,1.6,1.65,0.53,0,739.39
18.083330,5.45,2.33,0.94,5.82,0,740.19
18.125000,5.25,1.94,0.97,5.34,0,740.29
18.166670,3.63,1.27,1.38,0.18,0,740.49
18.208330,4.03,2.22,1.86,0.3,0,740.39
18.250000,3.43,3.43,0.66,0.38,0,740.09
18.291670,2.62,2.926666667,1.28,0.06,0,739.89
18.333330,2.3,2.423333333,1.11,0.14,2,739.99
18.375000,3.17,1.92,0.11,3.45,0,739.39
18.416670,3.45,2.38,0.16,3.67,0,738.79
18.458330,4.12,2.015,0.2,4.24,0,737.99
18.500000,4.18,1.65,0.43,3.32,0,736.89
18.541670,4.31,2.29,0.38,2.68,2,736.19
18.583330,3.97,3.97,1.47,1.6,4.4,735.49
18.625000,3.77,2.83,1.01,1.66,0,735.39
18.666670,3.43,2.5,0.86,1.2,10,735.29
18.708330,2.83,2.83,1.13,0.35,10,735.49
18.750000,2.56,2.1,1.38,0.36,10,735.19
18.791670,2.16,1.8,1.07,0.45,10,735.19
18.833330,2.1,1.4,1.03,0.38,10,735.29
18.875000,2.03,1,1.46,0.2,10,735.59
18.916670,1.9,0.6,0.99,6.25,10,735.89
18.958330,2.57,0.2,1.46,0.09,10,736.39
19.000000,1.9,0.22,1.17,4.86,10,736.99
19.041670,1.97,0.26,1.14,5.2,4.4,737.59
19.083330,2.37,-0.41,2.24,4.79,7.5,738.59
19.125000,1.63,-1.61,4.69,4.18,7.5,739.59
19.166670,1.3,-1.95,4.24,4.09,0,740.39
19.208330,0.62,-2.83,1.94,4.95,2,741.09
19.250000,0.28,-3.25,3.46,4.22,0,742.09
19.291670,-0.38,-4.07,2.79,3.89,0,742.59
19.333330,-0.91,-5.05,2.27,0.03,0,743.69
19.375000,-0.37,-4.97,1.07,0.02,0,744.69
19.416670,-0.03,-5.21,0.92,6.27,0,745.59
19.458330,0.7,-5.25,2.19,4.03,2,745.99
19.500000,0.69,-5.46,1.76,4.47,0,745.69
19.541670,2.23,-5.87,2.37,3.93,0,745.49
19.583330,1.56,-4.85,2.36,3.65,0,746.29
19.625000,2.3,-5.17,2.3,3.59,0,746.89
19.666670,1.5,-4.96,1.87,3.93,10,747.19
19.708330,-0.58,-4.3,1.38,0.46,4.4,747.59
19.750000,-1.39,-4.27,1.58,0.36,2,747.79
19.791670,-1.78,-4.21,1.71,0.4,0,748.29
19.833330,-2.52,-4.54,1.66,0.4,0,748.09
19.875000,-2.65,-4.53,1.9,0.29,0,748.49
19.916670,-3.26,-3.48,2.61,0.28,0,748.49
19.958330,-4,-4.54,2.38,0.36,0,748.69
20.000000,-3.8,-5.6,2.07,0.39,0,748.79
20.041670,-4.06,-5.72,2.05,0.27,0,748.79
20.083330,-4.4,-5.82,2.04,0.25,0,748.39
20.125000,-3.92,-5.6,1.94,0.28,0,748.19
20.166670,-3.99,-5.53,1.71,0.3,0,747.69
20.208330,-4.06,-5.6,1.72,0.56,0,747.19
20.250000,-4.19,-5.89,1.72,0.24,7.5,746.89
20.291670,-3.72,-5.56,1.27,0.26,7.5,746.69
20.333330,-3.45,-5.62,1.43,0.2,7.5,746.59
20.375000,-3.05,-5.58,1.5,0.12,7.5,746.39
20.416670,-2.51,-4.85,0.81,0.25,10,746.09
20.458330,-2.78,-3.8,0.6,0.63,7.5,745.19
20.500000,-2.58,-3.45,0.88,0.51,10,744.29
20.541670,-1.77,-2.7,0.04,0.54,10,743.59
20.583330,-1.98,-2.88,0,0,10,742.79
20.625000,-1.71,-2.62,0,0,2,742.29
20.666670,-1.71,-2.53,0,0,7.5,742.19
20.708330,-1.17,-2.69,0,0,7.5,741.89
20.750000,-1.44,-2.23,0,0,10,742.29
20.791670,-1.24,-2.18,0,0,10,742.09
