$ HOXO_DLS 2011 2017-11-15 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
3.000000,-3.88,-8.98,0,0,10,770.2559782
3.041670,-3.95,-8.98,1.34,1.92,10,770.2559782
3.083330,-4.08,-8.85,2.23,1.92,2,770.2559782
3.125000,-4.42,-8.18,3.12,1.92,0,770.2559782
3.166670,-4.7,-8.82,1.34,1.92,0,770.2559782
3.208330,-7.14,-9.68,1.34,1.92,0,770.2559782
3.250000,-7.95,-9.89,2.23,2.09,0,770.2559782
3.291670,-8.29,-10.31,2.23,1.92,0,771.1248511
3.333330,-7.54,-9.49,2.68,2.09,7.5,771.1248511
3.375000,-5.84,-8.21,0,0,2,771.9937241
3.416670,-4.68,-8.4,0,0,0,771.9937241
3.458330,-3.8,-8.48,0,0,0,771.9937241
3.500000,-2.92,-8.75,0,0,0,771.1248511
3.541670,-1.77,-8.24,0,0,0,770.2559782
3.583330,-1.43,-8.56,0,0,0,770.2559782
3.625000,-1.65,-8.31,0,0,0,769.3871052
3.666670,-2.6,-8.16,0,0,0,769.3871052
3.708330,-2.87,-8.07,1.34,4.71,2,769.3871052
3.750000,-3.41,-8.1,0,0,0,770.2559782
3.791670,-4.22,-7.91,2.23,1.57,0,770.2559782
3.833330,-4.7,-7.79,3.57,1.74,0,770.2559782
3.875000,-4.7,-8.04,1.34,2.96,0,771.1248511
3.916670,-4.76,-8.33,1.34,3.84,0,771.1248511
3.958330,-6.79,-8.69,0,0,0,771.1248511
4.000000,-7.41,-8.73,0,0,0,770.2559782
4.041670,-7.68,-8.96,0,0,0,770.2559782
4.083330,-8.15,-9.6,1.34,1.92,10,770.2559782
4.125000,-8.29,-9.63,2.23,1.74,10,771.1248511
4.166670,-7.53,-8.8,0,0,10,770.2559782
4.208330,-7.26,-8.59,0,0,10,770.2559782
4.250000,-6.58,-8.43,0,0,10,770.2559782
4.291670,-6.45,-8.66,0,0,10,770.2559782
4.333330,-6.79,-8.87,0,0,10,770.2559782
4.375000,-6.59,-8.87,0,0,10,770.2559782
4.416670,-5.09,-7.97,0,0,10,770.2559782
4.458330,-3.93,-7.53,0,0,10,770.2559782
4.500000,-3.19,-7.02,0,0,2,769.3871052
4.541670,-2.72,-7.14,0,0,0,768.5182322
4.583330,-1.77,-6.72,0,0,0,768.5182322
4.625000,-1.71,-7,0,0,0,768.5182322
4.666670,-1.71,-6.88,0,0,0,768.5182322
4.708330,-1.91,-6.21,0,0,2,768.5182322
4.750000,-1.98,-5.88,0,0,0,768.5182322
4.791670,-2.05,-6.1,0,0,2,768.5182322
4.833330,-2.25,-5.75,0,0,4.4,768.5182322
4.875000,-2.45,-5.34,0,0,0,768.5182322
4.916670,-2.25,-5.05,0,0,10,768.5182322
4.958330,-2.18,-5.17,0,0,10,768.5182322
5.000000,-2.18,-4.78,0,0,7.5,768.5182322
5.041670,-2.31,-4.76,0,0,7.5,768.5182322
5.083330,-2.52,-4.9,0,0,0,768.5182322
5.125000,-2.66,-4.53,0,0,7.5,768.5182322
5.166670,-2.18,-4.72,0,0,10,768.5182322
5.208330,-2.11,-4.48,0,0,7.5,768.5182322
5.250000,-2.05,-4.59,0,0,10,769.3871052
5.291670,-1.91,-3.96,0,0,10,769.3871052
5.333330,-1.91,-3.77,0,0,10,769.3871052
5.375000,-1.17,-4.17,0,0,10,769.3871052
5.416670,-0.42,-3.97,0,0,7.5,770.2559782
5.458330,0.32,-3.63,0,0,7.5,770.2559782
5.500000,1.06,-3.46,0,0,10,769.3871052
5.541670,1.81,-3.23,0,0,10,769.3871052
5.583330,2,-2.71,0,0,10,769.3871052
5.625000,2.88,-2.35,0,0,10,768.5182322
5.666670,2.27,-2,0,0,10,768.5182322
5.708330,1.6,-1.85,0,0,10,768.5182322
5.750000,0.98,-1.87,0,0,10,769.3871052
5.791670,1.25,-1.68,0,0,7.5,769.3871052
5.833330,1.12,-1.38,0,0,7.5,769.3871052
5.875000,1.46,-1.15,0,0,10,769.3871052
5.916670,2.34,0.08,0,0,10,769.3871052
5.958330,2,0.41,0,0,7.5,769.3871052
6.000000,1.86,0.83,0,0,0,769.3871052
6.041670,0.71,-0.1,0,0,0,768.5182322
6.083330,0.37,-0.2,0,0,0,768.5182322
6.125000,-0.1,-0.68,1.34,3.14,0,768.5182322
6.166670,0.31,0,0,0,0,768.5182322
6.208330,-0.02,-0.3,0,0,10,768.5182322
6.250000,0.51,0.26,0,0,10,768.5182322
6.291670,0.78,0.52,0,0,10,767.6493593
6.333330,0.98,0.69,0,0,10,767.6493593
6.375000,1.66,1.27,0,0,7.5,767.6493593
6.416670,2.34,1.55,0,0,7.5,768.5182322
6.458330,3.02,1.82,0,0,2,768.5182322
6.500000,4.72,2.82,0,0,0,767.6493593
6.541670,7.36,3.73,0,0,2,766.7804863
6.583330,10.41,5.2,0,0,4.4,766.7804863
6.625000,9.17,5.43,0,0,2,766.7804863
6.666670,9.65,6.06,2.68,5.41,10,765.9116134
6.708330,8.22,5.92,0,0,10,765.9116134
6.750000,7.07,4.36,0,0,10,765.9116134
6.791670,5.37,3.41,0,0,2,765.9116134
6.833330,4.01,2.83,1.34,3.31,0,765.9116134
6.875000,3.47,2.27,0,0,0,765.0427404
6.916670,2.6,1.82,1.34,1.57,0,765.9116134
6.958330,1.78,1.18,1.34,3.31,0,765.9116134
7.000000,0.77,0.19,0,0,0,765.0427404
7.041670,0.84,0.33,1.34,1.39,0,765.0427404
7.083330,1.39,0.85,0,0,0,765.0427404
7.125000,1.05,0.51,0,0,10,765.0427404
7.166670,1.73,1.19,0,0,10,764.1738674
7.208330,1.12,0.8,0,0,10,764.1738674
7.250000,1.18,0.65,0,0,10,764.1738674
7.291670,1.8,1.47,0,0,10,764.1738674
7.333330,1.66,1.01,0,0,10,764.1738674
7.375000,2.13,1.24,1.34,2.79,7.5,764.1738674
7.416670,6.62,4.99,0,0,10,764.1738674
7.458330,8.25,5.13,1.34,3.14,4.4,764.1738674
7.500000,8.44,4.72,0,0,2,762.4361215
7.541670,9.18,4.38,0,0,0,761.5672486
7.583330,8.29,4.96,0,0,2,761.5672486
7.625000,7.75,5.5,0,0,10,761.5672486
7.666670,7.2,5.32,4.47,5.06,10,761.5672486
7.708330,7,4.99,4.91,5.93,10,761.5672486
7.750000,6.73,5.08,1.34,5.58,10,760.6983756
7.791670,6.59,4.38,4.91,5.23,10,760.6983756
7.833330,6.73,3.73,2.68,5.23,2,760.6983756
7.875000,6.38,2.22,4.91,5.06,2,760.6983756
7.916670,5.64,0.72,4.91,5.23,0,761.5672486
7.958330,5.24,0.57,6.7,5.41,0,761.5672486
8.000000,4.7,-0.18,1.34,5.23,0,761.5672486
8.041670,4.77,-0.25,3.12,5.23,0,762.4361215
8.083330,4.63,-0.57,3.12,5.58,0,762.4361215
8.125000,4.23,-0.3,4.47,5.06,0,764.1738674
8.166670,4.43,-0.7,3.12,5.23,10,764.1738674
8.208330,4.3,-1.11,1.34,5.58,10,764.1738674
8.250000,3.96,-0.93,0,0,10,764.1738674
8.291670,3.21,-0.64,1.34,1.39,10,764.1738674
8.333330,3.48,-0.2,0,0,2,764.1738674
8.375000,3.07,0.98,2.68,4.01,4.4,764.1738674
8.416670,3.75,1.17,4.91,5.58,0,764.1738674
8.458330,4.71,0.84,6.25,5.76,10,764.1738674
8.500000,4.23,0.72,6.25,5.93,7.5,762.4361215
8.541670,5.66,0.68,5.81,5.23,7.5,762.4361215
8.583330,4.77,-0.1,4.02,5.06,0,762.4361215
8.625000,4.97,-0.07,5.81,5.23,0,762.4361215
8.666670,4.22,0.17,6.7,5.41,0,762.4361215
8.708330,3.61,-0.36,5.81,5.41,2,762.4361215
8.750000,3.01,0.08,4.91,4.88,0,762.4361215
8.791670,3.07,0.57,2.68,5.06,0,763.3049945
8.833330,1.03,-1.03,3.57,5.23,2,763.3049945
8.875000,0.7,-1.05,0,0,0,762.4361215
8.916670,0.36,-1.32,0,0,0,763.3049945
8.958330,-0.3,-1.65,2.23,4.36,0,763.3049945
9.000000,0.17,-1.33,3.57,4.36,2,763.3049945
9.041670,0.57,-0.76,0,0,0,763.3049945
9.083330,-0.1,-1.18,1.34,1.92,7.5,763.3049945
9.125000,-0.44,-1.37,2.68,2.26,10,763.3049945
9.166670,-0.17,-1.09,2.23,2.61,4.4,763.3049945
9.208330,-1.18,-1.8,1.34,2.61,0,763.3049945
9.250000,-0.37,-1.2,1.34,2.44,4.4,763.3049945
9.291670,-0.64,-1.28,0,0,4.4,763.3049945
9.333330,-0.63,-1.25,1.34,2.61,10,763.3049945
9.375000,-0.43,-1.13,1.34,1.39,4.4,764.1738674
9.416670,0.99,-0.15,0,0,7.5,764.1738674
9.458330,2.28,0.66,0,0,10,764.1738674
9.500000,3.43,0.72,0,0,10,764.1738674
9.541670,3.77,0.55,0,0,7.5,764.1738674
9.583330,4.24,0.21,1.34,2.61,0,764.1738674
9.625000,4.03,-0.16,0,0,0,765.0427404
9.666670,3.89,0.14,0,0,10,765.0427404
9.708330,2.94,-0.21,2.23,0.52,10,765.0427404
9.750000,2.13,-0.17,5.81,1.22,7.5,765.9116134
9.791670,0.5,-0.5,0,0,7.5,766.7804863
9.833330,0.51,-0.51,1.34,1.74,10,766.7804863
9.875000,0.1,-0.73,3.12,1.57,10,767.6493593
9.916670,0.3,-0.1,4.02,1.39,10,768.5182322
9.958330,0.64,-0.82,3.12,1.92,10,768.5182322
10.000000,0.17,-0.77,0,0,10,768.5182322
10.041670,-0.3,-0.89,0,0,10,769.3871052
10.083330,-0.51,-1.08,2.23,1.57,10,769.3871052
10.125000,-0.44,-1.37,2.68,1.39,10,769.3871052
10.166670,-0.51,-1.9,4.02,1.04,10,770.2559782
10.208330,-0.37,-2.56,3.12,1.04,10,770.2559782
10.250000,-0.64,-2.58,3.12,1.57,10,770.2559782
10.291670,-0.63,-2.62,3.57,1.39,10,771.1248511
10.333330,-0.43,-3.24,2.23,1.39,10,771.1248511
10.375000,-0.7,-2.3,3.12,1.92,10,771.9937241
10.416670,-0.09,-2.4,2.68,1.92,10,771.9937241
10.458330,0.1,-2.58,1.34,1.92,10,771.9937241
10.500000,0.37,-5.19,3.57,1.39,10,771.9937241
10.541670,-0.17,-5.41,2.68,1.39,10,771.1248511
10.583330,-0.17,-6.7,4.02,1.74,10,771.1248511
10.625000,-0.23,-6.45,4.47,1.92,10,771.9937241
10.666670,-0.71,-7.77,4.91,1.92,10,771.1248511
10.708330,-1.18,-7.92,4.91,1.74,10,771.1248511
10.750000,-1.59,-7.42,3.57,1.92,10,771.1248511
10.791670,-1.92,-9.41,3.12,1.74,10,771.1248511
10.833330,-2.33,-9.6,2.23,1.74,10,771.1248511
10.875000,-2.73,-10.53,0,0,10,771.1248511
10.916670,-2.73,-9.67,2.68,2.61,10,771.1248511
10.958330,-2.53,-9.88,1.34,1.74,10,771.1248511
11.000000,-2.46,-10.55,2.23,2.79,10,771.1248511
11.041670,-2.46,-10.56,2.23,1.74,10,771.1248511
11.083330,-2.87,-9.71,3.12,2.09,10,771.1248511
11.125000,-2.93,-9.57,3.12,1.74,10,771.1248511
11.166670,-3.34,-9.72,3.57,1.57,7.5,771.1248511
11.208330,-3.61,-10.52,3.12,1.39,10,771.1248511
11.250000,-3.54,-10.15,3.57,1.22,4.4,771.1248511
11.291670,-3.47,-10.73,3.12,1.04,2,771.1248511
11.333330,-3.61,-11.47,4.02,1.39,7.5,771.1248511
11.375000,-3.61,-10.71,5.81,1.39,2,771.1248511
11.416670,-3.27,-10.16,4.02,1.39,0,771.1248511
11.458330,-2.79,-9.81,6.25,1.22,0,771.1248511
11.500000,-2.32,-9.68,5.81,1.04,7.5,769.3871052
11.541670,-1.99,-9.87,4.91,1.22,4.4,769.3871052
11.583330,-1.99,-9.15,4.47,1.39,10,769.3871052
11.625000,-2.33,-8.03,4.91,1.92,10,768.5182322
11.666670,-2.53,-7.53,4.02,2.09,10,768.5182322
11.708330,-3.21,-6.02,4.02,2.09,10,768.5182322
11.750000,-3.62,-5.46,1.34,2.09,10,767.6493593
11.791670,-3.35,-7.26,1.34,1.22,10,767.6493593
11.833330,-3.48,-6.64,1.34,1.22,10,767.6493593
11.875000,-3.61,-6.43,2.68,1.22,10,767.6493593
11.916670,-4.02,-5.75,2.23,1.39,10,766.7804863
11.958330,-4.08,-5.29,1.34,1.39,10,766.7804863
12.000000,-4.22,-5.29,0,0,10,765.9116134
12.041670,-4.15,-5.2,2.23,1.39,10,765.9116134
12.083330,-4.22,-5.08,2.23,1.22,10,765.9116134
12.125000,-4.08,-4.97,0,0,10,765.0427404
12.166670,-4.08,-5.03,0,0,10,764.1738674
12.208330,-4.08,-5.1,0,0,10,764.1738674
12.250000,-3.67,-4.72,0,0,10,764.1738674
12.291670,-3.47,-4.5,0,0,10,763.3049945
12.333330,-2.86,-3.83,0,0,10,763.3049945
12.375000,-2.58,-4.34,0,0,10,763.3049945
12.416670,-1.5,-3.6,0,0,7.5,763.3049945
12.458330,-1.17,-2.85,0,0,10,763.3049945
12.500000,-0.97,-2.6,0,0,10,763.3049945
12.541670,-0.56,-1.82,0,0,10,763.3049945
12.583330,0.05,-0.75,0,0,10,763.3049945
12.625000,0.38,-0.16,0,0,10,763.3049945
12.666670,0.72,0.34,0,0,7.5,764.1738674
12.708330,1.26,0.93,1.34,3.66,7.5,764.1738674
12.750000,2.21,1.98,0,0,10,764.1738674
12.791670,2,1.79,1.34,4.36,10,764.1738674
12.833330,1.86,1.67,0,0,10,764.1738674
12.875000,1.52,1.34,0,0,10,764.1738674
12.916670,1.25,1.08,1.34,2.96,10,764.1738674
12.958330,0.91,0.73,0,0,7.5,764.1738674
13.000000,0.78,0.6,0,0,4.4,763.3049945
13.041670,1.05,0.9,0,0,7.5,762.4361215
13.083330,1.12,0.98,0,0,10,762.4361215
13.125000,1.46,1.3,0,0,10,762.4361215
13.166670,1.12,0.98,0,0,10,762.4361215
13.208330,1.12,0.98,2.68,0.52,10,762.4361215
13.250000,1.12,0.99,2.23,1.04,10,760.6983756
13.291670,1.12,1.01,0,0,10,760.6983756
13.333330,1.32,1.21,0,0,7.5,760.6983756
13.375000,2.27,2.15,2.68,0,10,760.6983756
13.416670,3.43,3.26,0,0,7.5,761.5672486
13.458330,3.83,3.65,0,0,4.4,761.5672486
13.500000,5.32,4.92,0,0,7.5,759.8295026
13.541670,6.27,5.8,0,0,2,760.6983756
13.583330,8.65,7.78,1.34,4.01,10,760.6983756
13.625000,7.88,7.06,0,0,10,760.6983756
13.666670,8.08,7.8,2.23,5.76,7.5,760.6983756
13.708330,7.2,6.97,0,0,10,760.6983756
13.750000,10.67,9.05,1.34,3.84,7.5,761.5672486
13.791670,11.35,9.6,2.23,3.84,10,762.4361215
13.833330,11.75,9.21,2.23,3.31,10,762.4361215
13.875000,11.88,9.2,0,0,10,763.3049945
13.916670,11.61,9.28,6.25,5.23,10,763.3049945
13.958330,11.47,9.63,1.34,5.12,10,763.3049945
14.000000,11.46,8.95,1.34,5,10,764.1738674
14.041670,11.4,8.43,1.34,4.88,10,765.0427404
14.083330,11.12,8.17,5.81,5.76,7.5,765.0427404
14.125000,11.06,8.16,4.47,5.58,2,765.9116134
14.166670,10.85,8.24,4.02,5.41,10,765.9116134
14.208330,10.78,8.14,3.57,5.76,10,765.9116134
14.250000,8.68,7.48,2.68,1.92,10,765.9116134
14.291670,7.93,7.26,0,0,7.5,766.7804863
14.333330,7.52,7.14,0,0,10,766.7804863
14.375000,8.21,7.83,0,0,10,766.7804863
14.416670,8.68,8.34,2.23,3.49,10,766.7804863
14.458330,9.91,9.13,0,0,10,766.7804863
14.500000,12.62,9.47,0,0,10,765.9116134
14.541670,12.82,10.08,1.34,3.14,10,765.9116134
14.583330,13.16,10.27,1.34,0.87,10,765.9116134
14.625000,13.22,10.47,0,0,10,766.7804863
14.666670,12.94,10.5,0,0,4.4,766.7804863
14.708330,13.15,10.54,6.25,5.76,0,766.7804863
14.750000,13.28,10.35,2.68,5.06,2,766.7804863
14.791670,13.68,10.36,4.91,5.06,0,767.6493593
14.833330,12.94,9.54,3.57,5.58,0,767.6493593
14.875000,10.43,8.85,1.34,4.36,7.5,768.5182322
14.916670,13.28,9.8,2.23,1.74,7.5,769.3871052
14.958330,12.67,9.38,3.12,1.92,2,769.3871052
15.000000,9.88,8.24,0,0,2,769.3871052
15.041670,8.87,7.78,0,0,0,769.3871052
15.083330,7.18,6.38,3.12,1.74,0,769.3871052
15.125000,6.91,6.25,3.57,1.74,0,769.3871052
15.166670,6.71,6.05,0,0,0,768.5182322
15.208330,6.03,5.31,1.34,2.79,0,768.5182322
15.250000,5.97,5.36,0,0,0,768.5182322
15.291670,5.7,5.2,2.68,0.87,0,767.6493593
15.333330,5.02,4.66,0,0,0,767.6493593
15.375000,6.25,5.86,2.23,4.18,7.5,767.6493593
15.416670,6.86,5.95,0,0,0,767.6493593
15.458330,8.49,7.17,0,0,10,767.6493593
15.500000,8.69,7.24,0,0,7.5,765.9116134
15.541670,8.35,7.45,0,0,10,765.9116134
15.583330,7.94,7.5,0,0,10,765.9116134
15.625000,7.19,6.91,0,0,10,764.1738674
15.666670,7.6,7.28,0,0,10,763.3049945
15.708330,7.6,7.37,0,0,10,763.3049945
15.750000,7.47,7.28,0,0,10,763.3049945
15.791670,7.4,7.22,0,0,10,762.4361215
15.833330,7.26,7.1,0,0,10,762.4361215
15.875000,6.99,6.83,0,0,10,759.8295026
15.916670,7.13,7.01,0,0,10,759.8295026
15.958330,7.13,7,0,0,10,759.8295026
16.000000,7.26,7.15,0,0,10,759.8295026
16.041670,9.3,9.18,0,0,10,759.8295026
16.083330,9.77,9.61,2.68,0.34,7.5,759.8295026
16.125000,11.54,11.11,0,0,10,758.9606297
16.166670,12.21,11.25,0,0,10,758.9606297
16.208330,12.21,11.18,0,0,10,758.9606297
16.250000,12.68,11.48,0,0,10,760.6983756
16.291670,12.13,11.44,0,0,10,761.5672486
16.333330,11.46,10.92,1.34,0.69,10,761.5672486
16.375000,11.86,11.36,0,0,7.5,758.0917567
16.416670,11.86,11.32,1.34,0,10,759.8295026
16.458330,12.26,11.52,0,0,10,759.8295026
16.500000,12.4,12.06,1.34,3.66,10,758.0917567
16.541670,13.62,12.1,2.23,2.44,10,758.0917567
16.583330,13.82,11.8,1.34,0.87,10,758.0917567
16.625000,13.41,11.91,0,0,10,759.8295026
16.666670,12.6,11.71,0,0,10,759.8295026
16.708330,12.6,11.45,1.34,4.71,7.5,759.8295026
16.750000,12.06,11.44,1.34,1.39,0,759.8295026
16.791670,11.38,10.98,1.34,1.74,0,759.8295026
16.833330,12.6,10.27,5.81,5.41,0,759.8295026
16.875000,12.67,9.38,8.04,5.23,0,760.6983756
16.916670,11.99,9.5,10.28,5.06,0,760.6983756
16.958330,11.58,9.01,7.6,5.41,0,760.6983756
17.000000,11.11,9.38,8.04,5.23,0,760.6983756
17.041670,11.59,9.42,8.94,5.41,0,760.6983756
17.083330,11.32,9.3,11.17,5.23,0,760.6983756
17.125000,10.98,8.28,10.72,5.41,0,760.6983756
17.166670,10.91,7.84,9.38,5.41,0,760.6983756
17.208330,10.51,7.25,9.38,5.41,0,760.6983756
17.250000,9.96,7.05,11.17,5.41,0,761.5672486
17.291670,9.96,6.64,11.62,5.41,0,762.4361215
17.333330,9.42,6.78,10.72,5.41,0,762.4361215
17.375000,9.5,6.35,10.72,5.06,0,762.4361215
17.416670,9.97,6.01,10.72,5.23,0,764.1738674
17.458330,9.97,6,10.28,5.58,0,764.1738674
17.500000,10.65,6,11.17,5.23,0,764.1738674
17.541670,11.59,5.49,15.19,5.23,0,764.1738674
17.583330,10.57,5.62,10.72,5.23,0,764.1738674
17.625000,9.95,5.83,9.83,5.23,0,765.0427404
17.666670,9.82,5.47,6.7,5.41,10,764.1738674
17.708330,9.27,5.13,9.38,5.06,10,764.1738674
17.750000,9.01,4.49,5.81,5.23,10,765.9116134
17.791670,8.95,4.47,7.6,5.23,10,766.7804863
17.833330,8.47,3.83,8.04,5.41,10,766.7804863
17.875000,8.21,3.6,8.04,5.06,7.5,766.7804863
17.916670,7.87,3.37,8.04,5.23,2,766.7804863
17.958330,7.46,3.47,7.15,5.23,10,766.7804863
18.000000,7.32,3.08,6.7,5.41,0,766.7804863
18.041670,6.85,2.95,8.04,5.23,0,766.7804863
18.083330,6.44,3.17,6.25,5.23,0,766.7804863
18.125000,6.38,3.29,7.15,5.23,0,766.7804863
18.166670,6.58,3.3,2.68,4.71,0,766.7804863
18.208330,6.72,3.21,5.81,4.53,0,766.7804863
18.250000,6.58,3.4,4.91,4.01,4.4,765.9116134
18.291670,6.38,3.98,4.02,3.84,10,765.9116134
18.333330,6.38,4.08,1.34,3.84,10,765.9116134
18.375000,6.66,3.51,7.15,5.41,10,765.0427404
18.416670,6.05,3.8,3.57,5.58,10,765.0427404
18.458330,6.25,4.62,4.02,5.06,7.5,765.0427404
18.500000,6.52,4.55,3.57,5.06,7.5,764.1738674
18.541670,6.59,4.43,3.12,5.06,7.5,763.3049945
18.583330,6.59,4.52,3.12,5.58,10,763.3049945
18.625000,6.18,4.03,4.91,5.23,7.5,763.3049945
18.666670,5.91,4.29,4.47,5.41,7.5,763.3049945
18.708330,5.43,4.47,3.57,5.23,10,763.3049945
18.750000,5.23,3.2,4.47,5.23,10,762.4361215
18.791670,4.82,3.8,1.34,5.76,10,762.4361215
18.833330,4.35,3.76,3.12,6.28,10,762.4361215
18.875000,4.96,2.66,2.23,5.23,10,764.1738674
18.916670,3.54,2.87,3.57,0.17,10,764.1738674
18.958330,3.13,2.35,2.68,5.93,10,764.1738674
19.000000,2.19,1.88,3.57,5.93,10,765.9116134
19.041670,2.46,2.13,2.68,6.1,10,766.7804863
19.083330,2.46,2.11,0,0,10,766.7804863
19.125000,2.67,2.26,0,0,7.5,768.5182322
19.166670,2.6,2.2,0,0,2,768.5182322
19.208330,2.53,1.75,0,0,7.5,768.5182322
19.250000,2.32,1.68,0,0,10,769.3871052
19.291670,2.19,1.55,0,0,10,770.2559782
19.333330,2.06,1.36,0,0,10,770.2559782
19.375000,2.19,1.23,0,0,10,771.1248511
19.416670,3.14,1.98,0,0,10,771.1248511
19.458330,4.09,2.77,0,0,10,771.1248511
19.500000,4.77,2.22,0,0,10,771.1248511
19.541670,4.97,2.61,2.68,5.58,10,771.1248511
19.583330,5.43,1.84,3.12,5.76,4.4,771.1248511
19.625000,5.3,2.4,2.23,4.88,0,770.2559782
19.666670,5.03,2.18,1.34,3.31,7.5,771.1248511
19.708330,4.01,1.93,0,0,7.5,771.1248511
19.750000,4.01,2,2.68,6.28,2,771.9937241
19.791670,4.15,2.42,0,0,4.4,771.9937241
19.833330,3.88,2.28,0,0,10,771.9937241
19.875000,3.95,1.68,2.23,2.44,10,772.862597
19.916670,3.55,1.03,2.23,1.92,10,772.862597
19.958330,3.21,0.62,1.34,1.92,10,772.862597
20.000000,3.01,0.44,0,0,10,772.862597
20.041670,2.8,0.65,0,0,10,771.9937241
20.083330,2.6,0.31,0,0,10,771.9937241
20.125000,2.46,0.18,0,0,10,771.9937241
20.166670,2.32,0.15,0,0,10,771.1248511
20.208330,2.19,0.43,0,0,10,771.1248511
20.250000,1.98,0.18,0,0,10,771.1248511
20.291670,1.99,0.43,1.34,4.88,10,770.2559782
20.333330,1.92,0.06,2.23,5.06,10,770.2559782
20.375000,2.06,0.41,1.34,4.36,4.4,770.2559782
20.416670,3.28,0.18,0,0,0,770.2559782
20.458330,4.98,1.29,0,0,7.5,770.2559782
20.500000,6.73,2.68,0,0,2,768.5182322
20.541670,7,1.08,0,0,2,768.5182322
20.583330,7.27,0.88,0,0,0,768.5182322
20.625000,8.29,-0.28,9.83,5.23,0,766.7804863
20.666670,8.21,-0.88,7.6,5.58,0,766.7804863
20.708330,7.94,-0.4,7.6,5.58,0,766.7804863
20.750000,7.26,-1.33,7.6,5.76,0,766.7804863
20.791670,7.27,1.1,1.34,3.84,2,766.7804863
20.833330,6.93,2.26,2.68,5.41,10,766.7804863
20.875000,7.81,2.97,0,0,7.5,766.7804863
