"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 2 Segment 42 Depth 15.00 m","42","Oxygen % Gas Saturation","","20/20","CHJ_tsr_2_seg42.opt",    0.041670
"Segment 42 Withdrawal flow","42","QWD","m^3/s","1/1","qwo_42.opt",    0.041667
"Segment 42 Withdrawal Temperature","42","T","Celsius","1/1","two_42.opt",    0.041667
"Segment 42 Withdrawal constituent","42","N2","g/m^3","1/2","cwo_42.opt",    0.041667
"Segment 42 Withdrawal constituent","42","DO","g/m^3","2/2","cwo_42.opt",    0.041667
"Segment 42 Withdrawal Derived Constituent","42","Oxygen % Gas Saturation","","1/1","dwo_42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 flow","42","QWD","m^3/s","1/1","qwo_gate1_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 temperature","42","T","Celsius","1/1","two_gate1_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","N2","g/m^3","1/2","cwo_gate1_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","DO","g/m^3","2/2","cwo_gate1_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 derived constituents","42","Oxygen % Gas Saturation","","1/1","dwo_gate1_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 flow","42","QWD","m^3/s","1/1","qwo_gate2_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 temperature","42","T","Celsius","1/1","two_gate2_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","N2","g/m^3","1/2","cwo_gate2_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","DO","g/m^3","2/2","cwo_gate2_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 derived constituents","42","Oxygen % Gas Saturation","","1/1","dwo_gate2_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 flow","42","QWD","m^3/s","1/1","qwo_gate3_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 temperature","42","T","Celsius","1/1","two_gate3_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","N2","g/m^3","1/2","cwo_gate3_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 constituents","42","DO","g/m^3","2/2","cwo_gate3_seg42.opt",    0.041667
"GATE WITHDRAWAL AT SEG42 derived constituents","42","Oxygen % Gas Saturation","","1/1","dwo_gate3_seg42.opt",    0.041667
