Constituent,Julian_day,Seg_2  ,Seg_3  ,Seg_4  ,Seg_5  ,Seg_6  ,Seg_7  ,Seg_8  ,Seg_9  ,Seg_10 ,Seg_11 ,Seg_12 ,Seg_13 ,Seg_14 ,Seg_15 ,Seg_16 ,Seg_17 ,Seg_18 ,Seg_19 ,Seg_20 ,Seg_21 ,Seg_22 ,Seg_23 ,Seg_24 ,Seg_25 ,Seg_26 ,Seg_27 ,Seg_28 ,Seg_29 ,
Temperature, 40546.000,     3.672,     3.656,     3.627,     3.586,     3.510,     3.433,     3.406,     3.477,     3.502,     3.482,     3.487,     3.549,     3.289,     2.952,     2.738,     2.664,     2.641,     2.649,     2.680,     2.691,     2.689,     2.653,     2.683,     2.700,     2.755,     2.782,     2.826,     2.845,
N2                                    , 40546.000,    20.355,    19.788,    20.360,    20.374,    20.395,    20.198,    20.387,    20.369,    20.366,    20.379,    20.421,    20.272,    20.067,    19.931,    19.889,    19.856,    19.857,    19.858,    19.860,    19.884,    19.910,    19.851,    19.902,    19.850,    19.835,    19.826,    19.820,    19.815,
Dissolved_oxygen                      , 40546.000,    12.660,    12.307,    12.663,    12.671,    12.685,    12.562,    12.679,    12.667,    12.664,    12.673,    12.702,    12.597,    12.454,    12.359,    12.330,    12.306,    12.308,    12.309,    12.310,    12.327,    12.345,    12.305,    12.340,    12.306,    12.295,    12.290,    12.285,    12.282,
Oxyg                                  , 40546.000,    98.596,    95.865,    98.530,    98.392,    98.279,    97.293,    98.324,    98.327,    98.261,    98.353,    98.722,    97.246,    95.261,    93.990,    93.579,    93.358,    93.337,    93.488,    93.586,    93.558,    93.467,    93.603,    93.485,    93.617,    93.654,    93.675,    93.695,    93.695,
TDG(                                  , 40546.000,    98.502,    95.706,    98.376,    98.241,    98.095,    97.182,    98.119,    98.105,    98.021,    98.018,    98.396,    97.044,    95.369,    94.139,    93.791,    93.572,    93.512,    93.570,    93.506,    93.370,    93.050,    92.888,    92.912,    92.818,    92.854,    93.150,    93.164,    93.189,
Temperature, 40547.000,     3.475,     3.485,     3.492,     3.483,     3.478,     3.514,     3.525,     3.512,     3.452,     3.359,     3.306,     3.302,     3.360,     3.378,     3.323,     3.291,     3.155,     2.974,     2.703,     2.441,     2.542,     2.478,     2.554,     2.543,     2.691,     2.742,     2.830,     2.847,
N2                                    , 40547.000,    20.397,    19.825,    20.385,    20.385,    20.387,    20.183,    20.377,    20.378,    20.392,    20.405,    20.397,    20.401,    20.405,    20.380,    20.370,    20.287,    20.173,    20.024,    19.929,    19.923,    19.983,    19.897,    19.977,    19.881,    19.852,    19.828,    19.821,    19.810,
Dissolved_oxygen                      , 40547.000,    12.686,    12.330,    12.678,    12.678,    12.679,    12.551,    12.672,    12.671,    12.681,    12.688,    12.682,    12.685,    12.688,    12.671,    12.663,    12.605,    12.526,    12.422,    12.356,    12.352,    12.395,    12.335,    12.392,    12.325,    12.306,    12.289,    12.285,    12.278,
Oxyg                                  , 40547.000,    98.313,    95.678,    98.356,    98.333,    98.428,    97.491,    98.376,    98.217,    98.046,    97.977,    97.899,    98.093,    98.146,    97.861,    97.704,    96.933,    95.811,    94.364,    93.334,    93.334,    93.292,    93.522,    93.329,    93.565,    93.621,    93.664,    93.679,    93.702,
TDG(                                  , 40547.000,    98.276,    95.544,    98.198,    98.104,    98.315,    97.406,    98.322,    98.017,    97.832,    97.723,    97.693,    97.866,    97.655,    97.404,    97.344,    96.627,    95.714,    94.097,    92.957,    92.787,    92.715,    92.418,    92.602,    92.807,    92.699,    93.347,    93.186,    93.339,
Temperature, 40548.000,     3.366,     3.374,     3.375,     3.364,     3.353,     3.361,     3.340,     3.327,     3.324,     3.343,     3.370,     3.399,     3.320,     3.256,     3.231,     3.229,     3.255,     3.280,     3.310,     2.695,     2.625,     2.339,     2.371,     2.446,     2.625,     2.714,     2.812,     2.846,
N2                                    , 40548.000,    20.433,    19.866,    20.428,    20.429,    20.433,    20.241,    20.439,    20.424,    20.410,    20.399,    20.392,    20.397,    20.407,    20.413,    20.417,    20.414,    20.418,    20.431,    20.302,    20.146,    20.120,    19.967,    20.016,    19.910,    19.868,    19.843,    19.827,    19.814,
Dissolved_oxygen                      , 40548.000,    12.711,    12.357,    12.707,    12.707,    12.710,    12.590,    12.713,    12.702,    12.692,    12.684,    12.679,    12.682,    12.688,    12.692,    12.694,    12.693,    12.696,    12.705,    12.615,    12.506,    12.489,    12.383,    12.417,    12.344,    12.316,    12.298,    12.288,    12.280,
Oxyg                                  , 40548.000,    98.531,    95.870,    98.557,    98.521,    98.551,    97.605,    98.495,    98.404,    98.369,    98.396,    98.419,    98.252,    98.118,    98.074,    98.077,    98.161,    98.182,    98.394,    96.345,    94.880,    93.804,    93.716,    93.588,    93.808,    93.904,    93.958,    93.972,    93.987,
TDG(                                  , 40548.000,    98.601,    95.845,    98.525,    98.465,    98.488,    97.573,    98.582,    98.439,    98.304,    98.334,    98.346,    98.194,    97.981,    97.942,    97.988,    97.967,    97.956,    97.998,    95.263,    93.853,    93.076,    92.696,    93.263,    93.258,    93.251,    93.803,    93.834,    93.879,
Temperature, 40549.000,     3.466,     3.417,     3.339,     3.222,     3.132,     3.156,     3.248,     3.303,     3.321,     3.323,     3.316,     3.302,     3.310,     3.329,     3.340,     3.343,     3.339,     3.286,     3.292,     3.253,     3.046,     2.693,     2.437,     2.454,     2.524,     2.621,     2.717,     2.758,
N2                                    , 40549.000,    20.434,    19.882,    20.494,    20.518,    20.517,    20.287,    20.476,    20.462,    20.450,    20.447,    20.451,    20.440,    20.424,    20.413,    20.409,    20.407,    20.409,    20.410,    20.439,    20.424,    20.366,    20.236,    20.142,    19.983,    19.902,    19.887,    19.878,    19.855,
Dissolved_oxygen                      , 40549.000,    12.711,    12.370,    12.753,    12.771,    12.769,    12.623,    12.740,    12.729,    12.720,    12.717,    12.720,    12.711,    12.700,    12.692,    12.689,    12.687,    12.689,    12.689,    12.708,    12.698,    12.660,    12.569,    12.504,    12.393,    12.337,    12.328,    12.322,    12.307,
Oxyg                                  , 40549.000,    98.661,    95.827,    98.487,    98.365,    98.382,    97.527,    98.559,    98.522,    98.463,    98.431,    98.410,    98.367,    98.320,    98.289,    98.270,    98.260,    98.117,    98.149,    98.256,    97.436,    95.929,    95.386,    94.128,    93.825,    93.762,    93.862,    93.910,    93.966,
TDG(                                  , 40549.000,    98.775,    95.918,    98.608,    98.501,    98.434,    97.652,    98.689,    98.563,    98.458,    98.483,    98.576,    98.384,    98.311,    98.378,    98.262,    98.214,    98.114,    98.147,    98.050,    97.264,    95.449,    94.398,    93.819,    93.624,    93.530,    93.753,    93.948,    94.139,
Temperature, 40550.000,     3.052,     3.066,     3.089,     3.124,     3.191,     3.311,     3.518,     3.587,     3.486,     3.317,     3.221,     3.227,     3.290,     3.317,     3.319,     3.314,     3.312,     3.314,     3.330,     3.308,     3.334,     3.062,     2.774,     2.621,     2.590,     2.564,     2.635,     2.683,
N2                                    , 40550.000,    20.577,    19.966,    20.546,    20.520,    20.483,    20.204,    20.391,    20.419,    20.471,    20.503,    20.506,    20.479,    20.461,    20.455,    20.455,    20.450,    20.447,    20.430,    20.418,    20.431,    20.468,    20.422,    20.361,    20.167,    20.017,    19.948,    19.899,    19.870,
Dissolved_oxygen                      , 40550.000,    12.815,    12.433,    12.792,    12.773,    12.747,    12.566,    12.680,    12.699,    12.736,    12.758,    12.760,    12.740,    12.726,    12.722,    12.721,    12.717,    12.715,    12.703,    12.694,    12.703,    12.730,    12.698,    12.658,    12.520,    12.416,    12.368,    12.335,    12.315,
Oxyg                                  , 40550.000,    98.965,    96.097,    98.971,    98.996,    99.092,    98.256,    99.320,    99.208,    99.045,    98.970,    98.986,    99.007,    98.970,    98.936,    98.920,    98.886,    98.862,    98.826,    98.716,    98.806,    98.132,    97.659,    96.103,    95.379,    94.705,    94.404,    94.262,    94.279,
TDG(                                  , 40550.000,    99.241,    96.325,    99.168,    99.183,    99.267,    98.373,    99.508,    99.373,    99.266,    99.190,    99.150,    99.178,    99.149,    99.100,    99.080,    99.044,    99.019,    98.982,    98.875,    98.866,    97.883,    96.396,    95.629,    95.143,    94.743,    94.560,    94.574,    94.663,
Temperature, 40551.000,     3.062,     3.068,     3.072,     3.062,     3.046,     3.033,     2.985,     2.996,     3.088,     3.242,     3.427,     3.581,     3.488,     3.361,     3.305,     3.301,     3.326,     3.356,     3.362,     3.357,     3.400,     3.353,     3.004,     2.773,     2.806,     2.711,     2.697,     2.694,
N2                                    , 40551.000,    20.613,    20.009,    20.602,    20.605,    20.626,    20.455,    20.663,    20.610,    20.537,    20.464,    20.409,    20.437,    20.479,    20.497,    20.499,    20.487,    20.472,    20.461,    20.447,    20.428,    20.440,    20.448,    20.446,    20.342,    20.198,    20.066,    20.005,    19.929,
Dissolved_oxygen                      , 40551.000,    12.835,    12.457,    12.825,    12.828,    12.844,    12.746,    12.877,    12.839,    12.785,    12.732,    12.692,    12.712,    12.741,    12.753,    12.754,    12.745,    12.734,    12.726,    12.715,    12.701,    12.710,    12.717,    12.720,    12.642,    12.541,    12.449,    12.407,    12.355,
Oxyg                                  , 40551.000,    99.924,    97.054,    99.901,    99.879,    99.969,    99.087,   100.102,   100.054,   100.051,   100.146,   100.235,   100.151,   100.039,    99.985,    99.975,    99.978,    99.956,    99.924,    99.837,    99.822,    99.755,    99.134,    97.787,    97.685,    96.869,    95.959,    95.633,    95.312,
TDG(                                  , 40551.000,   100.254,    97.329,   100.186,   100.166,   100.241,    99.342,   100.321,   100.212,   100.177,   100.221,   100.433,   100.278,   100.183,   100.196,   100.168,   100.129,   100.129,   100.044,    99.959,    99.950,    99.865,    98.366,    97.344,    97.175,    96.602,    96.108,    95.856,    95.697,
Temperature, 40552.000,     3.071,     3.077,     3.095,     3.129,     3.215,     3.396,     3.455,     3.322,     3.159,     3.062,     3.024,     3.001,     3.208,     3.421,     3.519,     3.541,     3.499,     3.423,     3.346,     3.335,     3.374,     3.352,     3.192,     2.698,     2.792,     2.901,     3.001,     2.986,
N2                                    , 40552.000,    20.623,    20.027,    20.581,    20.544,    20.480,    20.252,    20.516,    20.586,    20.626,    20.650,    20.664,    20.571,    20.477,    20.433,    20.423,    20.438,    20.466,    20.491,    20.480,    20.458,    20.451,    20.456,    20.404,    20.346,    20.359,    20.309,    20.254,    20.075,
Dissolved_oxygen                      , 40552.000,    12.840,    12.466,    12.808,    12.782,    12.737,    12.592,    12.763,    12.812,    12.843,    12.863,    12.876,    12.809,    12.741,    12.708,    12.701,    12.711,    12.731,    12.749,    12.739,    12.723,    12.718,    12.722,    12.691,    12.646,    12.652,    12.617,    12.577,    12.453,
Oxyg                                  , 40552.000,    99.613,    96.861,    99.604,    99.610,    99.707,    98.845,    99.833,    99.771,    99.739,    99.790,    99.805,    99.828,    99.858,    99.873,    99.878,    99.870,    99.812,    99.753,    99.670,    99.597,    99.500,    99.272,    97.356,    97.379,    97.912,    97.759,    97.390,    96.287,
TDG(                                  , 40552.000,    99.787,    96.924,    99.657,    99.636,    99.679,    98.873,    99.901,    99.788,    99.765,    99.724,    99.886,    99.779,    99.654,    99.632,    99.728,    99.747,    99.712,    99.624,    99.507,    99.477,    99.385,    98.754,    97.163,    97.185,    97.511,    97.457,    97.157,    96.314,
Temperature, 40553.000,     2.973,     2.988,     3.003,     3.013,     3.031,     3.081,     3.082,     3.065,     3.116,     3.235,     3.329,     3.315,     3.123,     3.041,     3.068,     3.099,     3.218,     3.352,     3.461,     3.429,     3.359,     3.337,     3.371,     2.987,     2.767,     2.821,     2.933,     3.038,
N2                                    , 40553.000,    20.714,    20.123,    20.671,    20.654,    20.642,    20.445,    20.647,    20.607,    20.541,    20.500,    20.513,    20.602,    20.644,    20.637,    20.625,    20.570,    20.516,    20.455,    20.462,    20.487,    20.478,    20.469,    20.463,    20.376,    20.374,    20.354,    20.389,    20.338,
Dissolved_oxygen                      , 40553.000,    12.906,    12.536,    12.874,    12.862,    12.854,    12.732,    12.857,    12.827,    12.779,    12.750,    12.758,    12.824,    12.857,    12.854,    12.846,    12.807,    12.768,    12.723,    12.727,    12.744,    12.737,    12.729,    12.730,    12.669,    12.665,    12.649,    12.673,    12.635,
Oxyg                                  , 40553.000,    98.955,    96.251,    98.880,    98.829,    98.901,    97.989,    98.883,    98.778,    98.725,    98.757,    98.787,    98.802,    98.824,    98.857,    98.872,    98.896,    98.894,    98.900,    98.875,    98.761,    98.628,    98.790,    97.542,    96.555,    96.852,    96.932,    97.325,    97.233,
TDG(                                  , 40553.000,    99.058,    96.271,    98.886,    98.922,    98.983,    97.957,    98.984,    98.781,    98.770,    98.761,    98.819,    98.793,    98.744,    98.773,    98.790,    98.715,    98.672,    98.645,    98.630,    98.521,    98.378,    98.329,    97.148,    96.282,    96.570,    96.717,    97.036,    96.908,
Temperature, 40554.000,     2.633,     2.643,     2.648,     2.654,     2.675,     2.741,     2.809,     2.852,     2.901,     2.939,     2.954,     2.981,     3.113,     3.183,     3.180,     3.157,     3.089,     3.024,     3.056,     3.155,     3.261,     3.330,     3.406,     3.113,     2.908,     2.848,     2.855,     2.895,
N2                                    , 40554.000,    20.936,    20.346,    20.905,    20.889,    20.874,    20.633,    20.789,    20.728,    20.685,    20.671,    20.659,    20.587,    20.548,    20.550,    20.562,    20.598,    20.637,    20.631,    20.558,    20.521,    20.489,    20.479,    20.502,    20.436,    20.412,    20.383,    20.382,    20.391,
Dissolved_oxygen                      , 40554.000,    13.072,    12.702,    13.050,    13.037,    13.026,    12.870,    12.960,    12.914,    12.882,    12.872,    12.863,    12.810,    12.782,    12.783,    12.792,    12.819,    12.849,    12.847,    12.796,    12.768,    12.745,    12.735,    12.754,    12.710,    12.691,    12.670,    12.669,    12.674,
Oxyg                                  , 40554.000,    98.912,    96.270,    98.918,    98.877,    98.971,    97.989,    98.741,    98.539,    98.393,    98.368,    98.364,    98.310,    98.267,    98.272,    98.273,    98.319,    98.324,    98.463,    98.415,    98.269,    98.255,    98.561,    97.682,    96.911,    96.808,    96.538,    96.552,    96.865,
TDG(                                  , 40554.000,    98.854,    96.052,    98.883,    98.720,    98.939,    97.629,    98.531,    98.215,    98.083,    98.077,    98.409,    97.888,    97.914,    97.928,    97.937,    97.902,    97.961,    97.907,    97.540,    97.673,    97.513,    97.951,    96.995,    95.818,    95.755,    95.809,    95.804,    96.047,
Temperature, 40555.000,     2.426,     2.458,     2.498,     2.527,     2.541,     2.580,     2.586,     2.581,     2.588,     2.603,     2.668,     2.754,     2.847,     2.905,     2.971,     2.987,     3.050,     3.084,     3.148,     3.176,     3.118,     3.211,     3.208,     3.264,     3.122,     2.983,     2.889,     2.824,
N2                                    , 40555.000,    21.082,    20.490,    21.055,    21.034,    21.015,    20.790,    20.979,    20.951,    20.919,    20.878,    20.825,    20.745,    20.688,    20.651,    20.641,    20.608,    20.583,    20.560,    20.561,    20.602,    20.572,    20.526,    20.527,    20.494,    20.460,    20.435,    20.419,    20.407,
Dissolved_oxygen                      , 40555.000,    13.183,    12.810,    13.160,    13.144,    13.129,    12.985,    13.101,    13.081,    13.058,    13.026,    12.986,    12.925,    12.883,    12.855,    12.848,    12.823,    12.805,    12.789,    12.793,    12.822,    12.803,    12.769,    12.769,    12.747,    12.724,    12.706,    12.696,    12.689,
Oxyg                                  , 40555.000,   100.104,    97.462,   100.204,   100.113,   100.088,    99.045,    99.903,    99.757,    99.623,    99.569,    99.477,    99.271,    99.095,    99.034,    99.022,    99.029,    98.941,    99.047,    99.198,    99.148,    99.130,    99.210,    99.064,    98.571,    98.175,    97.671,    97.342,    96.868,
TDG(                                  , 40555.000,   100.043,    97.392,   100.027,   100.000,    99.883,    98.876,    99.926,    99.599,    99.512,    99.400,    99.444,    98.987,    98.913,    98.804,    98.791,    98.696,    98.641,    98.769,    99.001,    98.914,    98.780,    98.181,    98.555,    98.288,    97.736,    97.346,    96.986,    96.698,
Temperature, 40556.000,     2.677,     2.664,     2.644,     2.618,     2.597,     2.593,     2.542,     2.483,     2.468,     2.496,     2.548,     2.559,     2.601,     2.661,     2.739,     2.769,     2.870,     2.973,     3.070,     3.092,     3.118,     3.208,     3.203,     3.237,     3.132,     3.105,     3.031,     2.970,
N2                                    , 40556.000,    20.992,    20.423,    21.016,    21.030,    21.040,    20.851,    21.074,    21.071,    21.050,    21.016,    20.997,    20.940,    20.879,    20.830,    20.808,    20.745,    20.697,    20.614,    20.591,    20.596,    20.562,    20.547,    20.538,    20.552,    20.527,    20.491,    20.478,    20.454,
Dissolved_oxygen                      , 40556.000,    13.122,    12.767,    13.139,    13.150,    13.157,    13.040,    13.180,    13.176,    13.157,    13.130,    13.115,    13.072,    13.027,    12.990,    12.973,    12.925,    12.890,    12.830,    12.813,    12.816,    12.792,    12.782,    12.776,    12.787,    12.770,    12.745,    12.737,    12.722,
Oxyg                                  , 40556.000,   100.566,    97.798,   100.571,   100.594,   100.635,    99.609,   100.514,   100.429,   100.362,   100.298,   100.216,    99.994,    99.817,    99.710,    99.676,    99.570,    99.481,    99.435,    99.375,    99.375,    99.388,    99.408,    99.385,    99.235,    99.027,    98.639,    98.413,    97.760,
TDG(                                  , 40556.000,   100.744,    97.974,   100.755,   100.778,   100.814,    99.796,   100.726,   100.666,   100.611,   100.562,   100.501,   100.278,   100.101,   100.006,    99.972,    99.833,    99.730,    99.533,    99.537,    99.625,    99.596,    99.677,    99.642,    99.583,    99.403,    99.058,    98.857,    98.283,
Temperature, 40557.000,     2.846,     2.842,     2.836,     2.826,     2.830,     2.859,     2.908,     2.910,     2.867,     2.802,     2.738,     2.665,     2.638,     2.659,     2.698,     2.706,     2.750,     2.866,     2.951,     3.054,     3.111,     3.177,     3.193,     3.239,     3.243,     3.209,     3.163,     3.157,
N2                                    , 40557.000,    20.892,    20.319,    20.908,    20.915,    20.919,    20.715,    20.937,    20.964,    20.997,    21.026,    21.057,    21.054,    21.023,    20.988,    20.974,    20.930,    20.875,    20.761,    20.681,    20.680,    20.624,    20.582,    20.569,    20.552,    20.547,    20.533,    20.523,    20.498,
Dissolved_oxygen                      , 40557.000,    13.059,    12.701,    13.069,    13.074,    13.077,    12.949,    13.087,    13.104,    13.127,    13.148,    13.170,    13.164,    13.137,    13.110,    13.099,    13.065,    13.025,    12.940,    12.880,    12.880,    12.838,    12.806,    12.798,    12.787,    12.784,    12.775,    12.768,    12.750,
Oxyg                                  , 40557.000,   100.655,    97.877,   100.685,   100.732,   100.828,    99.975,   101.049,   101.070,   101.069,   101.051,   101.019,   100.892,   100.742,   100.622,   100.570,   100.412,   100.269,   100.056,    99.875,    99.956,    99.794,    99.654,    99.674,    99.613,    99.500,    99.301,    99.232,    98.887,
TDG(                                  , 40557.000,   100.862,    98.079,   100.897,   100.943,   101.025,   100.152,   101.233,   101.268,   101.279,   101.272,   101.253,   101.163,   101.045,   100.945,   100.904,   100.746,   100.521,   100.098,   100.103,   100.311,   100.161,   100.018,   100.060,   100.024,    99.924,    99.748,    99.686,    99.380,
Temperature, 40558.000,     3.010,     3.002,     2.990,     2.972,     2.954,     2.959,     2.990,     3.008,     2.993,     2.968,     2.964,     3.000,     2.982,     2.903,     2.831,     2.798,     2.763,     2.744,     2.839,     2.919,     2.951,     3.055,     3.149,     3.231,     3.270,     3.285,     3.263,     3.251,
N2                                    , 40558.000,    20.789,    20.214,    20.800,    20.811,    20.820,    20.622,    20.842,    20.863,    20.884,    20.902,    20.908,    20.943,    20.989,    21.022,    21.037,    21.042,    21.055,    20.929,    20.831,    20.854,    20.778,    20.671,    20.621,    20.577,    20.559,    20.548,    20.547,    20.535,
Dissolved_oxygen                      , 40558.000,    12.995,    12.634,    13.000,    13.007,    13.013,    12.888,    13.024,    13.039,    13.054,    13.065,    13.068,    13.091,    13.123,    13.145,    13.156,    13.158,    13.166,    13.068,    12.992,    13.011,    12.953,    12.874,    12.837,    12.805,    12.793,    12.785,    12.785,    12.777,
Oxyg                                  , 40558.000,    99.898,    97.115,    99.880,    99.886,    99.940,    99.073,   100.166,   100.237,   100.284,   100.365,   100.479,   100.611,   100.644,   100.620,   100.605,   100.524,   100.471,   100.079,    99.739,    99.860,    99.666,    99.405,    99.289,    99.167,    99.112,    98.997,    98.960,    98.802,
TDG(                                  , 40558.000,   100.028,    97.226,    99.997,   100.003,   100.018,    99.180,   100.333,   100.404,   100.372,   100.426,   100.602,   100.697,   100.718,   100.719,   100.716,   100.622,   100.616,   100.004,    99.735,   100.005,    99.721,    99.528,    99.566,    99.366,    99.344,    99.277,    99.234,    99.083,
Temperature, 40559.000,     3.526,     3.522,     3.512,     3.493,     3.461,     3.437,     3.434,     3.411,     3.339,     3.242,     3.169,     3.140,     3.143,     3.144,     3.143,     3.142,     3.140,     3.127,     3.079,     3.031,     2.981,     2.986,     3.049,     3.151,     3.255,     3.334,     3.354,     3.351,
N2                                    , 40559.000,    20.616,    20.047,    20.627,    20.636,    20.647,    20.463,    20.696,    20.730,    20.763,    20.788,    20.806,    20.833,    20.861,    20.882,    20.892,    20.905,    20.930,    20.935,    20.916,    20.977,    20.927,    20.830,    20.770,    20.663,    20.598,    20.568,    20.560,    20.553,
Dissolved_oxygen                      , 40559.000,    12.865,    12.510,    12.873,    12.880,    12.888,    12.778,    12.927,    12.953,    12.976,    12.993,    13.003,    13.020,    13.038,    13.052,    13.058,    13.066,    13.083,    13.083,    13.064,    13.108,    13.067,    12.993,    12.949,    12.868,    12.821,    12.799,    12.793,    12.789,
Oxyg                                  , 40559.000,   101.746,    98.917,   101.733,   101.707,   101.705,   100.829,   101.945,   101.951,   101.863,   101.792,   101.791,   101.931,   102.075,   102.183,   102.228,   102.286,   102.388,   102.261,   101.987,   102.167,   101.823,   101.473,   101.352,   101.029,   100.874,   100.761,   100.711,   100.618,
TDG(                                  , 40559.000,   101.908,    99.074,   101.897,   101.874,   101.870,   100.969,   102.071,   102.080,   102.015,   101.969,   101.984,   102.125,   102.265,   102.368,   102.411,   102.471,   102.568,   102.457,   102.213,   102.438,   102.116,   101.787,   101.691,   101.422,   101.311,   101.212,   101.167,   101.081,
Temperature, 40560.000,     3.560,     3.575,     3.595,     3.625,     3.656,     3.669,     3.744,     3.817,     3.865,     3.868,     3.827,     3.779,     3.711,     3.625,     3.545,     3.507,     3.444,     3.385,     3.343,     3.351,     3.356,     3.267,     3.210,     3.161,     3.208,     3.289,     3.362,     3.397,
N2                                    , 40560.000,    20.687,    20.117,    20.674,    20.663,    20.654,    20.432,    20.616,    20.601,    20.590,    20.590,    20.593,    20.630,    20.678,    20.718,    20.734,    20.761,    20.785,    20.810,    20.846,    20.873,    20.911,    20.903,    20.885,    20.806,    20.746,    20.684,    20.647,    20.595,
Dissolved_oxygen                      , 40560.000,    12.916,    12.560,    12.907,    12.899,    12.892,    12.752,    12.865,    12.854,    12.846,    12.847,    12.850,    12.878,    12.915,    12.944,    12.956,    12.975,    12.990,    13.006,    13.028,    13.045,    13.067,    13.055,    13.038,    12.977,    12.932,    12.887,    12.859,    12.820,
Oxyg                                  , 40560.000,   102.460,    99.687,   102.519,   102.545,   102.524,   101.611,   102.713,   102.754,   102.702,   102.596,   102.490,   102.538,   102.595,   102.612,   102.600,   102.573,   102.534,   102.539,   102.737,   102.884,   102.817,   102.565,   102.296,   101.940,   101.809,   101.650,   101.524,   101.327,
TDG(                                  , 40560.000,   102.525,    99.746,   102.573,   102.593,   102.573,   101.644,   102.729,   102.761,   102.713,   102.619,   102.526,   102.562,   102.610,   102.630,   102.623,   102.612,   102.594,   102.615,   102.813,   102.959,   102.933,   102.741,   102.533,   102.225,   102.110,   101.970,   101.859,   101.685,
Temperature, 40561.000,     3.568,     3.557,     3.542,     3.524,     3.503,     3.489,     3.471,     3.479,     3.523,     3.586,     3.657,     3.712,     3.785,     3.865,     3.932,     3.962,     4.020,     4.072,     4.115,     4.030,     3.922,     3.759,     3.632,     3.542,     3.428,     3.344,     3.333,     3.332,
N2                                    , 40561.000,    20.678,    20.127,    20.695,    20.704,    20.713,    20.522,    20.732,    20.736,    20.737,    20.732,    20.726,    20.705,    20.676,    20.651,    20.640,    20.619,    20.601,    20.575,    20.588,    20.631,    20.705,    20.779,    20.852,    20.892,    20.886,    20.844,    20.825,    20.776,
